CD,CL,dCD,dCL
0.1359,-0.3456,0.00142,0.00166
0.116,-0.321,0.0014,0.00161
0.099,-0.2948,0.00138,0.00157
0.0762,-0.26,0.00137,0.00152
0.0619,-0.238,0.00136,0.00149
0.0492,-0.2019,0.00135,0.00145
0.0447,-0.1835,0.00135,0.00143
0.0343,-0.1465,0.00134,0.00139
0.0285,-0.1206,0.00134,0.00137
0.0264,-0.0821,0.00133,0.00135
0.0208,-0.0523,0.00133,0.00134
0.0254,-0.0213,0.00133,0.00133
0.0209,0.0067,0.00133,0.00133
0.0239,0.0406,0.00133,0.00133
0.0228,0.0723,0.00133,0.00135
0.0149,0.0952,0.00133,0.00136
0.0217,0.1314,0.00134,0.00138
0.0272,0.1692,0.00134,0.00141
0.0278,0.2013,0.00134,0.00145
0.0342,0.2354,0.00135,0.00149
0.035,0.2626,0.00135,0.00152
0.04,0.3019,0.00136,0.00158
0.0454,0.3303,0.00137,0.00163
0.0481,0.3677,0.00137,0.00169
0.0566,0.3956,0.00138,0.00174
0.0671,0.4215,0.00139,0.00179
0.0753,0.453,0.0014,0.00185
0.0805,0.4733,0.00141,0.00189
0.096,0.494,0.00142,0.00193
0.0976,0.5088,0.00143,0.00196
0.1084,0.5319,0.00144,0.00201
0.1198,0.5565,0.00146,0.00206
0.1272,0.5646,0.00146,0.00208
0.134,0.582,0.00147,0.00212
0.1454,0.6022,0.00149,0.00217
0.1549,0.6173,0.0015,0.0022
