CD,CL,dCD,dCL
0.1243,-0.3172,0.00044,0.00041
0.105,-0.2808,0.00042,0.00039
0.0827,-0.2548,0.0004,0.00038
0.057,-0.2229,0.00038,0.00037
0.0466,-0.1988,0.00037,0.00036
0.0393,-0.1702,0.00036,0.00035
0.0349,-0.1483,0.00035,0.00034
0.0293,-0.1205,0.00034,0.00034
0.0253,-0.0976,0.00034,0.00034
0.0222,-0.0691,0.00033,0.00033
0.0193,-0.0384,0.00033,0.00033
0.0183,-0.0128,0.00033,0.00033
0.0193,0.0253,0.00033,0.00033
0.0187,0.0507,0.00033,0.00033
0.0161,0.069,0.00033,0.00033
0.0168,0.0988,0.00034,0.00033
0.0183,0.1273,0.00035,0.00034
0.0216,0.1543,0.00035,0.00035
0.0229,0.1737,0.00036,0.00035
0.0265,0.2027,0.00037,0.00036
0.0292,0.2227,0.00038,0.00036
0.0334,0.254,0.0004,0.00037
0.038,0.2795,0.00041,0.00038
0.0421,0.2991,0.00042,0.00039
0.0467,0.3248,0.00043,0.0004
0.0519,0.3519,0.00045,0.00041
0.0588,0.3792,0.00047,0.00042
0.0656,0.4014,0.00048,0.00043
0.073,0.4252,0.0005,0.00045
0.0789,0.4474,0.00051,0.00046
0.087,0.467,0.00053,0.00047
0.0936,0.4878,0.00054,0.00048
0.1006,0.5034,0.00055,0.00049
0.1149,0.521,0.00057,0.0005
0.1161,0.5397,0.00058,0.00051
0.1248,0.5566,0.00059,0.00052
