CD,CL,dCD,dCL
0.1202,-0.2947,0.00145,0.00163
0.1138,-0.2836,0.00144,0.00161
0.0992,-0.2646,0.00143,0.00159
0.0745,-0.2492,0.00141,0.00156
0.0639,-0.2242,0.00141,0.00153
0.0476,-0.2039,0.0014,0.0015
0.0449,-0.1808,0.0014,0.00148
0.0445,-0.1566,0.00139,0.00146
0.0327,-0.1425,0.00139,0.00144
0.0322,-0.1129,0.00139,0.00142
0.0287,-0.0919,0.00138,0.00141
0.0298,-0.0701,0.00138,0.0014
0.0264,-0.0441,0.00138,0.00139
0.024,-0.0048,0.00138,0.00138
0.0216,0.0082,0.00138,0.00138
0.0274,0.0283,0.00138,0.00138
0.024,0.0569,0.00138,0.00139
0.0294,0.0844,0.00138,0.0014
0.0211,0.1173,0.00138,0.00142
0.0287,0.1491,0.00139,0.00145
0.0309,0.1703,0.00139,0.00147
0.034,0.2048,0.00139,0.00151
0.0359,0.2404,0.0014,0.00155
0.0404,0.2663,0.0014,0.00159
0.0448,0.3019,0.00141,0.00164
0.0499,0.3363,0.00142,0.0017
0.0499,0.3654,0.00142,0.00175
0.0633,0.3871,0.00143,0.00179
0.0699,0.4052,0.00144,0.00182
0.083,0.448,0.00145,0.00191
0.0853,0.4775,0.00146,0.00197
0.0929,0.505,0.00147,0.00203
0.0977,0.5357,0.00148,0.00209
0.1089,0.5644,0.0015,0.00216
0.1244,0.5866,0.00152,0.00221
0.145,0.62,0.00154,0.00229
