CD,CL,dCD,dCL
0.1099,-0.2811,0.00043,0.00041
0.0991,-0.2586,0.00042,0.0004
0.0779,-0.2317,0.0004,0.00039
0.0546,-0.2106,0.00039,0.00038
0.0446,-0.1857,0.00038,0.00037
0.0372,-0.1561,0.00037,0.00036
0.0327,-0.1349,0.00036,0.00036
0.0269,-0.1122,0.00036,0.00035
0.0252,-0.0852,0.00035,0.00035
0.0224,-0.0603,0.00035,0.00035
0.0199,-0.0324,0.00034,0.00034
0.018,-0.0033,0.00034,0.00034
0.0164,0.0237,0.00034,0.00034
0.0164,0.0485,0.00035,0.00035
0.0146,0.074,0.00035,0.00035
0.0168,0.1039,0.00036,0.00035
0.0178,0.1258,0.00036,0.00036
0.0189,0.1476,0.00037,0.00036
0.0205,0.1749,0.00038,0.00037
0.0231,0.2,0.00039,0.00037
0.0255,0.2252,0.0004,0.00038
0.0294,0.252,0.00041,0.00039
0.0337,0.2792,0.00042,0.0004
0.0376,0.3061,0.00044,0.00041
0.0423,0.3283,0.00045,0.00042
0.0485,0.3529,0.00046,0.00043
0.056,0.3801,0.00048,0.00044
0.0611,0.4031,0.00049,0.00046
0.0684,0.424,0.00051,0.00047
0.0757,0.4467,0.00052,0.00048
0.085,0.4684,0.00054,0.00049
0.0927,0.4941,0.00056,0.0005
0.101,0.5139,0.00057,0.00052
0.1094,0.529,0.00058,0.00053
0.1188,0.5456,0.00059,0.00054
0.1275,0.5627,0.00061,0.00055
