CD,CL,dCD,dCL
0.119,-0.2935,0.00144,0.00162
0.1105,-0.29,0.00143,0.00161
0.0965,-0.2702,0.00142,0.00158
0.0744,-0.2394,0.0014,0.00154
0.0606,-0.2147,0.00139,0.00151
0.0472,-0.1843,0.00139,0.00147
0.04,-0.1545,0.00138,0.00144
0.0322,-0.1308,0.00138,0.00142
0.0302,-0.1129,0.00138,0.00141
0.0269,-0.079,0.00137,0.00139
0.0266,-0.0641,0.00137,0.00138
0.0224,-0.0505,0.00137,0.00138
0.0225,-0.024,0.00137,0.00137
0.0182,-0.0017,0.00137,0.00137
0.02,0.0258,0.00137,0.00137
0.0171,0.0499,0.00137,0.00138
0.0128,0.083,0.00137,0.00139
0.0205,0.1031,0.00138,0.0014
0.0227,0.1296,0.00138,0.00142
0.0245,0.1565,0.00138,0.00145
0.0253,0.1831,0.00138,0.00147
0.0292,0.2032,0.00138,0.00149
0.0347,0.2473,0.00139,0.00155
0.0409,0.2635,0.0014,0.00157
0.0434,0.3086,0.0014,0.00164
0.0488,0.3271,0.00141,0.00167
0.0532,0.3386,0.00141,0.00169
0.0586,0.3562,0.00142,0.00172
0.0677,0.3841,0.00142,0.00177
0.0747,0.4172,0.00143,0.00183
0.0746,0.4351,0.00144,0.00187
0.0834,0.4622,0.00145,0.00192
0.1011,0.49,0.00147,0.00198
0.1066,0.5063,0.00147,0.00202
0.1157,0.5328,0.00149,0.00208
0.1212,0.5372,0.00149,0.00209
