CD,CL,dCD,dCL
0.1203,-0.2743,0.00138,0.00153
0.1084,-0.2733,0.00137,0.00153
0.0936,-0.2583,0.00136,0.00151
0.0751,-0.2351,0.00135,0.00148
0.0579,-0.2129,0.00134,0.00145
0.0451,-0.1846,0.00133,0.00142
0.0395,-0.1517,0.00133,0.00139
0.0355,-0.1313,0.00133,0.00137
0.0324,-0.1182,0.00133,0.00136
0.0269,-0.0891,0.00132,0.00134
0.0269,-0.0535,0.00132,0.00133
0.0246,-0.032,0.00132,0.00132
0.0246,-0.012,0.00132,0.00132
0.0247,0.0044,0.00132,0.00132
0.0239,0.0274,0.00132,0.00132
0.0167,0.0557,0.00132,0.00133
0.0187,0.0898,0.00132,0.00134
0.0229,0.1196,0.00132,0.00136
0.0213,0.16,0.00133,0.00139
0.0244,0.1864,0.00133,0.00142
0.0282,0.2244,0.00134,0.00146
0.0325,0.261,0.00134,0.00151
0.0411,0.2778,0.00135,0.00153
0.0459,0.304,0.00135,0.00157
0.0532,0.3261,0.00136,0.00161
0.0545,0.3423,0.00136,0.00163
0.0561,0.3805,0.00137,0.0017
0.0646,0.4041,0.00138,0.00174
0.0737,0.4302,0.00139,0.00179
0.084,0.4642,0.0014,0.00185
0.0927,0.4953,0.00141,0.00192
0.0997,0.5159,0.00142,0.00196
0.1116,0.5332,0.00143,0.002
0.1249,0.5601,0.00145,0.00205
0.1356,0.5675,0.00146,0.00207
0.1462,0.5939,0.00147,0.00213
