CD,CL,dCD,dCL
0.108,-0.2773,0.00136,0.00152
0.0875,-0.2568,0.00135,0.00149
0.0685,-0.2268,0.00134,0.00145
0.0532,-0.1998,0.00133,0.00142
0.0521,-0.1966,0.00133,0.00142
0.0403,-0.1672,0.00132,0.00139
0.0343,-0.14,0.00132,0.00136
0.0247,-0.1173,0.00131,0.00135
0.0238,-0.101,0.00131,0.00134
0.0224,-0.0729,0.00131,0.00132
0.0199,-0.049,0.00131,0.00131
0.0193,-0.0337,0.00131,0.00131
0.0154,-0.0043,0.00131,0.00131
0.0137,0.0212,0.00131,0.00131
0.0147,0.0362,0.00131,0.00131
0.0156,0.0598,0.00131,0.00132
0.0152,0.0782,0.00131,0.00133
0.0175,0.1009,0.00131,0.00134
0.0189,0.1127,0.00131,0.00134
0.0199,0.1416,0.00131,0.00137
0.0228,0.1732,0.00132,0.00139
0.0264,0.1978,0.00132,0.00142
0.03,0.2223,0.00132,0.00145
0.0327,0.2311,0.00133,0.00146
0.0392,0.2628,0.00133,0.0015
0.043,0.2872,0.00134,0.00153
0.0496,0.3093,0.00134,0.00157
0.0524,0.3269,0.00135,0.00159
0.0603,0.3566,0.00135,0.00164
0.068,0.3866,0.00136,0.00169
0.0796,0.4065,0.00137,0.00173
0.0904,0.4339,0.00138,0.00178
0.0953,0.4522,0.00139,0.00182
0.1075,0.4823,0.00141,0.00188
0.115,0.4916,0.00141,0.00189
0.1236,0.5107,0.00142,0.00193
