alpha_deg,CL,dCL
-18.39,-0.3456,0.00166
-17.355,-0.321,0.00161
-16.421,-0.2948,0.00157
-15.435,-0.26,0.00152
-14.398,-0.238,0.00149
-13.393,-0.2019,0.00145
-12.389,-0.1835,0.00143
-11.431,-0.1465,0.00139
-10.417,-0.1206,0.00137
-9.358,-0.0821,0.00135
-8.341,-0.0523,0.00134
-7.41,-0.0213,0.00133
-6.416,0.0067,0.00133
-5.368,0.0406,0.00133
-4.429,0.0723,0.00135
-3.421,0.0952,0.00136
-2.397,0.1314,0.00138
-1.364,0.1692,0.00141
-0.402,0.2013,0.00145
0.621,0.2354,0.00149
1.603,0.2626,0.00152
2.635,0.3019,0.00158
3.55,0.3303,0.00163
4.562,0.3677,0.00169
5.618,0.3956,0.00174
6.638,0.4215,0.00179
7.606,0.453,0.00185
8.581,0.4733,0.00189
9.59,0.494,0.00193
10.608,0.5088,0.00196
11.612,0.5319,0.00201
12.609,0.5565,0.00206
13.594,0.5646,0.00208
14.621,0.582,0.00212
15.635,0.6022,0.00217
16.553,0.6173,0.0022
