alpha_deg,CL,dCL
-18.418,-0.3222,0.0016
-17.378,-0.3032,0.00157
-16.374,-0.2648,0.00151
-15.298,-0.2332,0.00147
-14.422,-0.2027,0.00143
-13.411,-0.1825,0.00141
-12.382,-0.1576,0.00139
-11.395,-0.1354,0.00137
-10.395,-0.1069,0.00135
-9.372,-0.0755,0.00133
-8.373,-0.0485,0.00132
-7.418,-0.0323,0.00132
-6.417,-0.0068,0.00131
-5.358,0.0194,0.00131
-4.428,0.0528,0.00132
-3.442,0.0664,0.00133
-2.433,0.0927,0.00134
-1.38,0.1195,0.00136
-0.354,0.1401,0.00137
0.576,0.1698,0.0014
1.587,0.1876,0.00141
2.617,0.2151,0.00144
3.647,0.2494,0.00149
4.644,0.2759,0.00152
5.596,0.3019,0.00156
6.608,0.3301,0.00161
7.641,0.3654,0.00166
8.554,0.3773,0.00169
9.562,0.3993,0.00172
10.606,0.4291,0.00178
11.626,0.4485,0.00182
12.646,0.4633,0.00185
13.604,0.4771,0.00187
14.598,0.4834,0.00189
15.64,0.5068,0.00193
16.574,0.5286,0.00198
