alpha_deg,CL,dCL
-18.278,-0.2825,0.00041
-17.399,-0.277,0.00041
-16.372,-0.2577,0.0004
-15.478,-0.2385,0.00039
-14.38,-0.2119,0.00038
-13.406,-0.1866,0.00037
-12.371,-0.1614,0.00037
-11.37,-0.1346,0.00036
-10.293,-0.1106,0.00035
-9.365,-0.0816,0.00035
-8.384,-0.0553,0.00035
-7.446,-0.0298,0.00035
-6.31,-0.0014,0.00034
-5.423,0.0222,0.00034
-4.429,0.0471,0.00035
-3.467,0.0723,0.00035
-2.428,0.1011,0.00035
-1.392,0.1263,0.00036
-0.379,0.1537,0.00036
0.534,0.1805,0.00037
1.565,0.2072,0.00038
2.728,0.2358,0.00039
3.632,0.26,0.00039
4.686,0.2934,0.00041
5.514,0.3209,0.00042
6.601,0.3475,0.00043
7.623,0.3764,0.00044
8.579,0.409,0.00046
9.64,0.4367,0.00047
10.548,0.4672,0.00049
11.607,0.4908,0.0005
12.625,0.5158,0.00052
13.662,0.5395,0.00053
14.659,0.5673,0.00055
15.631,0.5916,0.00056
16.568,0.6211,0.00058
