alpha_deg,CL,dCL
-18.428,-0.2811,0.00041
-17.391,-0.2586,0.0004
-16.436,-0.2317,0.00039
-15.308,-0.2106,0.00038
-14.422,-0.1857,0.00037
-13.404,-0.1561,0.00036
-12.393,-0.1349,0.00036
-11.347,-0.1122,0.00035
-10.435,-0.0852,0.00035
-9.389,-0.0603,0.00035
-8.365,-0.0324,0.00034
-7.445,-0.0033,0.00034
-6.428,0.0237,0.00034
-5.41,0.0485,0.00035
-4.359,0.074,0.00035
-3.442,0.1039,0.00035
-2.436,0.1258,0.00036
-1.403,0.1476,0.00036
-0.369,0.1749,0.00037
0.594,0.2,0.00037
1.563,0.2252,0.00038
2.619,0.252,0.00039
3.635,0.2792,0.0004
4.609,0.3061,0.00041
5.632,0.3283,0.00042
6.595,0.3529,0.00043
7.621,0.3801,0.00044
8.676,0.4031,0.00046
9.686,0.424,0.00047
10.566,0.4467,0.00048
11.609,0.4684,0.00049
12.632,0.4941,0.0005
13.571,0.5139,0.00052
14.578,0.529,0.00053
15.602,0.5456,0.00054
16.624,0.5627,0.00055
