alpha_deg,CL,dCL
-18.403,-0.2935,0.00162
-17.358,-0.29,0.00161
-16.405,-0.2702,0.00158
-15.438,-0.2394,0.00154
-14.396,-0.2147,0.00151
-13.379,-0.1843,0.00147
-12.38,-0.1545,0.00144
-11.431,-0.1308,0.00142
-10.403,-0.1129,0.00141
-9.36,-0.079,0.00139
-8.366,-0.0641,0.00138
-7.421,-0.0505,0.00138
-6.389,-0.024,0.00137
-5.392,-0.0017,0.00137
-4.433,0.0258,0.00137
-3.425,0.0499,0.00138
-2.412,0.083,0.00139
-1.363,0.1031,0.0014
-0.402,0.1296,0.00142
0.558,0.1565,0.00145
1.589,0.1831,0.00147
2.647,0.2032,0.00149
3.555,0.2473,0.00155
4.559,0.2635,0.00157
5.605,0.3086,0.00164
6.629,0.3271,0.00167
7.592,0.3386,0.00169
8.562,0.3562,0.00172
9.58,0.3841,0.00177
10.59,0.4172,0.00183
11.613,0.4351,0.00187
12.638,0.4622,0.00192
13.598,0.49,0.00198
14.616,0.5063,0.00202
15.635,0.5328,0.00208
16.684,0.5372,0.00209
