alpha_deg,CL,dCL
-18.425,-0.2831,0.0004
-17.378,-0.2679,0.00039
-16.349,-0.2458,0.00038
-15.423,-0.2242,0.00037
-14.407,-0.2074,0.00036
-13.403,-0.179,0.00035
-12.386,-0.1525,0.00035
-11.324,-0.1222,0.00034
-10.419,-0.1007,0.00034
-9.362,-0.0731,0.00033
-8.409,-0.0438,0.00033
-7.435,-0.0108,0.00033
-6.405,0.0199,0.00033
-5.387,0.044,0.00033
-4.404,0.0676,0.00033
-3.439,0.0998,0.00034
-2.416,0.1214,0.00034
-1.378,0.1523,0.00035
-0.365,0.1757,0.00035
0.566,0.1989,0.00036
1.589,0.222,0.00037
2.582,0.2541,0.00038
3.643,0.286,0.00039
4.666,0.3148,0.0004
5.595,0.3476,0.00041
6.622,0.3714,0.00042
7.599,0.402,0.00044
8.573,0.4301,0.00045
9.57,0.4491,0.00046
10.586,0.4743,0.00047
11.603,0.5009,0.00049
12.649,0.5217,0.0005
13.608,0.5402,0.00051
14.597,0.5609,0.00052
15.568,0.5845,0.00054
16.617,0.6024,0.00055
