alpha_deg,CL,dCL
-18.398,-0.3018,0.00043
-17.36,-0.2754,0.00042
-16.426,-0.2501,0.00041
-15.431,-0.221,0.00039
-14.398,-0.2004,0.00039
-13.412,-0.165,0.00038
-12.413,-0.1402,0.00037
-11.352,-0.115,0.00037
-10.408,-0.0899,0.00036
-9.355,-0.0635,0.00036
-8.377,-0.0371,0.00036
-7.39,-0.0126,0.00035
-6.393,0.02,0.00035
-5.404,0.0392,0.00036
-4.441,0.0676,0.00036
-3.425,0.0971,0.00036
-2.4,0.1205,0.00037
-1.365,0.1453,0.00037
-0.354,0.1708,0.00038
0.576,0.1936,0.00038
1.603,0.2164,0.00039
2.64,0.2448,0.0004
3.642,0.2666,0.00041
4.564,0.2885,0.00042
5.608,0.3173,0.00043
6.635,0.3403,0.00044
7.641,0.3674,0.00045
8.595,0.3829,0.00046
9.59,0.4102,0.00047
10.666,0.4311,0.00049
11.615,0.4502,0.0005
12.644,0.4681,0.00051
13.601,0.4883,0.00052
14.621,0.5054,0.00053
15.647,0.528,0.00054
16.556,0.5429,0.00055
