Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251107 16:40:29.611008,   14.000000,  375.000000,  450.000000,   -1.653684,   -1.175393,   -0.090781,  -16.689748,   -0.017381,   -0.033306,  -10.426303,   -0.026497
Sing,Metric,251107 16:40:42.553403,   14.000000,  375.000000,  450.000000,   -1.555391,   -1.090773,   -0.089714,  -15.655312,   -0.017658,   -0.035153,  -10.426303,   -0.024002
Sing,Metric,251107 16:40:51.968992,   14.000000,  375.000000,  450.000000,   -1.448626,   -0.999857,   -0.088075,  -14.720967,   -0.017202,   -0.034383,  -10.426303,   -0.025194
Sing,Metric,251107 16:40:59.816991,   14.000000,  375.000000,  450.000000,   -1.363549,   -0.873411,   -0.084243,  -13.734997,   -0.016839,   -0.035986,  -10.426303,   -0.023410
Sing,Metric,251107 16:41:09.648991,   14.000000,  375.000000,  450.000000,   -1.246493,   -0.798142,   -0.079682,  -12.697646,   -0.017464,   -0.034329,  -10.426303,   -0.026646
Sing,Metric,251107 16:41:16.745397,   14.000000,  375.000000,  450.000000,   -1.119662,   -0.677303,   -0.071203,  -11.692944,   -0.019174,   -0.037845,  -10.426303,   -0.024234
Sing,Metric,251107 16:41:28.624985,   14.000000,  375.000000,  450.000000,   -0.992887,   -0.621800,   -0.066758,  -10.688765,   -0.018055,   -0.034355,  -10.426303,   -0.024444
Sing,Metric,251107 16:41:38.025389,   14.000000,  375.000000,  450.000000,   -0.870286,   -0.497078,   -0.058809,   -9.731296,   -0.017650,   -0.032987,  -10.426303,   -0.024472
Sing,Metric,251107 16:41:47.185300,   14.000000,  375.000000,  450.000000,   -0.746850,   -0.409377,   -0.053099,   -8.717210,   -0.017810,   -0.034621,  -10.426303,   -0.023378
Sing,Metric,251107 16:41:54.536488,   14.000000,  375.000000,  450.000000,   -0.612539,   -0.283000,   -0.044849,   -7.658486,   -0.017605,   -0.035328,  -10.426303,   -0.025104
Sing,Metric,251107 16:42:18.281077,   14.000000,  375.000000,  450.000000,   -0.478379,   -0.174163,   -0.037837,   -6.641231,   -0.017469,   -0.034725,  -10.426303,   -0.024017
Sing,Metric,251107 16:42:28.894400,   14.000000,  375.000000,  450.000000,   -0.356738,   -0.068624,   -0.031066,   -5.710476,   -0.017260,   -0.035304,  -10.426303,   -0.023945
Sing,Metric,251107 16:42:37.288401,   14.000000,  375.000000,  450.000000,   -0.240051,    0.035151,   -0.023736,   -4.715630,   -0.017660,   -0.035060,  -10.426303,   -0.023767
Sing,Metric,251107 16:42:44.313425,   14.000000,  375.000000,  450.000000,   -0.106394,    0.155801,   -0.016128,   -3.667639,   -0.019143,   -0.035802,  -10.426303,   -0.024280
Sing,Metric,251107 16:42:54.001770,   14.000000,  375.000000,  450.000000,    0.007511,    0.274867,   -0.008241,   -2.728606,   -0.018059,   -0.034706,  -10.426303,   -0.025193
Sing,Metric,251107 16:43:02.049153,   14.000000,  375.000000,  450.000000,    0.116499,    0.360554,   -0.002658,   -1.720817,   -0.019117,   -0.036494,  -10.426303,   -0.024008
Sing,Metric,251107 16:43:11.633153,   14.000000,  375.000000,  450.000000,    0.238396,    0.494088,    0.005516,   -0.696693,   -0.018359,   -0.035775,  -10.426303,   -0.023961
Sing,Metric,251107 16:43:20.301194,   14.000000,  375.000000,  450.000000,    0.378051,    0.646739,    0.013902,    0.336466,   -0.017383,   -0.036519,  -10.426303,   -0.024668
Sing,Metric,251107 16:43:43.366556,   14.000000,  375.000000,  450.000000,    0.489625,    0.764521,    0.020350,    1.298262,   -0.017724,   -0.035661,  -10.426303,   -0.024969
Sing,Metric,251107 16:43:52.144461,   14.000000,  375.000000,  450.000000,    0.598338,    0.896092,    0.027783,    2.320773,   -0.016997,   -0.030594,  -10.426303,   -0.024270
Sing,Metric,251107 16:44:01.973495,   14.000000,  375.000000,  450.000000,    0.693108,    1.004971,    0.033917,    3.302644,   -0.018816,   -0.033199,  -10.426303,   -0.022701
Sing,Metric,251107 16:44:09.336462,   14.000000,  375.000000,  450.000000,    0.803114,    1.163396,    0.042945,    4.334670,   -0.018251,   -0.034281,  -10.426303,   -0.023929
Sing,Metric,251107 16:44:27.201066,   14.000000,  375.000000,  450.000000,    0.924696,    1.285903,    0.050692,    5.250081,   -0.018201,   -0.034948,  -10.426303,   -0.024936
Sing,Metric,251107 16:44:36.418091,   14.000000,  375.000000,  450.000000,    1.007354,    1.434181,    0.058134,    6.262488,   -0.017621,   -0.035820,  -10.426303,   -0.023840
Sing,Metric,251107 16:44:45.960083,   14.000000,  375.000000,  450.000000,    1.128246,    1.567378,    0.066077,    7.318305,   -0.017504,   -0.033928,  -10.426303,   -0.023025
Sing,Metric,251107 16:44:53.889483,   14.000000,  375.000000,  450.000000,    1.230551,    1.685785,    0.072978,    8.338061,   -0.017139,   -0.033906,  -10.426303,   -0.025455
Sing,Metric,251107 16:45:10.009954,   14.000000,  375.000000,  450.000000,    1.344941,    1.825721,    0.081666,    9.305606,   -0.017912,   -0.037270,  -10.426303,   -0.025796
Sing,Metric,251107 16:45:18.592342,   14.000000,  375.000000,  450.000000,    1.440350,    1.921976,    0.088439,   10.280833,   -0.017208,   -0.036060,  -10.426303,   -0.024881
Sing,Metric,251107 16:45:26.440238,   14.000000,  375.000000,  450.000000,    1.561635,    2.029279,    0.096566,   11.289843,   -0.017789,   -0.037259,  -10.426303,   -0.025130
Sing,Metric,251107 16:45:34.681108,   14.000000,  375.000000,  450.000000,    1.650062,    2.105792,    0.102115,   12.307563,   -0.017739,   -0.034044,  -10.426303,   -0.024294
Sing,Metric,251107 16:45:41.673480,   14.000000,  375.000000,  450.000000,    1.745998,    2.217631,    0.109322,   13.311573,   -0.017389,   -0.036186,  -10.426303,   -0.023853
Sing,Metric,251107 16:46:01.657003,   14.000000,  375.000000,  450.000000,    1.855523,    2.353534,    0.118551,   14.309050,   -0.018412,   -0.032607,  -10.426303,   -0.024307
Sing,Metric,251107 16:46:08.969388,   14.000000,  375.000000,  450.000000,    1.943618,    2.407693,    0.122612,   15.294126,   -0.016975,   -0.033062,  -10.426303,   -0.025693
