Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251107 17:05:04.912727,   14.000000,  375.000000,  450.000000,   -1.751886,    0.213480,   -0.022840,  -16.702840,   -0.017135,   -0.035174,  -10.426303,   -0.023957
Sing,Metric,251107 17:05:52.512401,   14.000000,  375.000000,  450.000000,   -1.638623,    0.194022,   -0.021821,  -15.653131,   -0.017440,   -0.034622,  -10.426303,   -0.023990
Sing,Metric,251107 17:06:04.904412,   14.000000,  375.000000,  450.000000,   -1.502131,    0.166496,   -0.020444,  -14.657822,   -0.017655,   -0.034293,  -10.426303,   -0.023997
Sing,Metric,251107 17:06:14.248413,   14.000000,  375.000000,  450.000000,   -1.410082,    0.146910,   -0.019487,  -13.729272,   -0.017163,   -0.034905,  -10.426303,   -0.023972
Sing,Metric,251107 17:06:24.383995,   14.000000,  375.000000,  450.000000,   -1.282332,    0.124232,   -0.018262,  -12.690967,   -0.017416,   -0.035794,  -10.426303,   -0.024397
Sing,Metric,251107 17:06:37.735675,   14.000000,  375.000000,  450.000000,   -1.151986,    0.101403,   -0.016632,  -11.669945,   -0.017809,   -0.035230,  -10.426303,   -0.024156
Sing,Metric,251107 17:06:59.912691,   14.000000,  375.000000,  450.000000,   -1.042761,    0.083948,   -0.015301,  -10.656570,   -0.018724,   -0.036325,  -10.426303,   -0.024931
Sing,Metric,251107 17:07:12.528643,   14.000000,  375.000000,  450.000000,   -0.921415,    0.065573,   -0.013838,   -9.730213,   -0.017351,   -0.037328,  -10.426303,   -0.024856
Sing,Metric,251107 17:07:24.331609,   14.000000,  375.000000,  450.000000,   -0.807282,    0.051829,   -0.012326,   -8.695230,   -0.017354,   -0.033989,  -10.426303,   -0.025408
Sing,Metric,251107 17:07:39.936608,   14.000000,  375.000000,  450.000000,   -0.695663,    0.036530,   -0.010961,   -7.651411,   -0.018490,   -0.035236,  -10.426303,   -0.025049
Sing,Metric,251107 17:08:27.184084,   14.000000,  375.000000,  450.000000,   -0.579946,    0.031875,   -0.009188,   -6.730653,   -0.017396,   -0.037134,  -10.426303,   -0.024453
Sing,Metric,251107 17:08:37.529575,   14.000000,  375.000000,  450.000000,   -0.461729,    0.018223,   -0.007537,   -5.700104,   -0.017511,   -0.039246,  -10.426303,   -0.025017
