Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251108 13:18:12.221167,   14.000000,  375.000000,  450.000000,   -1.485926,   -4.979765,   -0.294266,  -16.730469,   -0.016675,   -0.036492,  -10.426303,   -0.023764
Sing,Metric,251108 13:18:22.919167,   14.000000,  375.000000,  450.000000,   -1.393323,   -4.380575,   -0.306691,  -15.673434,   -0.017579,   -0.034266,  -10.426303,   -0.024543
Sing,Metric,251108 13:18:31.870171,   14.000000,  375.000000,  450.000000,   -1.390446,   -3.928408,   -0.306671,  -14.682342,   -0.017615,   -0.034366,  -10.426303,   -0.024972
Sing,Metric,251108 13:18:47.348098,   14.000000,  375.000000,  450.000000,   -1.461324,   -3.372008,   -0.293017,  -13.704161,   -0.018051,   -0.033924,  -10.426303,   -0.023676
Sing,Metric,251108 13:18:57.060219,   14.000000,  375.000000,  450.000000,   -1.328055,   -2.995228,   -0.271523,  -12.716947,   -0.018791,   -0.035110,  -10.426303,   -0.024389
Sing,Metric,251108 13:19:07.076161,   14.000000,  375.000000,  450.000000,   -1.157236,   -2.570484,   -0.248494,  -11.675651,   -0.017918,   -0.033030,  -10.426303,   -0.024605
Sing,Metric,251108 13:19:18.812749,   14.000000,  375.000000,  450.000000,   -0.998259,   -2.239638,   -0.229585,  -10.646294,   -0.017584,   -0.033942,  -10.426303,   -0.026432
Sing,Metric,251108 13:20:20.820596,   14.000000,  375.000000,  450.000000,   -0.837421,   -1.821153,   -0.205292,   -9.658520,   -0.017584,   -0.032531,  -10.426303,   -0.026181
Sing,Metric,251108 13:20:32.572516,   14.000000,  375.000000,  450.000000,   -0.696643,   -1.487073,   -0.186196,   -8.729274,   -0.017151,   -0.032803,  -10.426303,   -0.023787
Sing,Metric,251108 13:20:44.020363,   14.000000,  375.000000,  450.000000,   -0.520567,   -1.063166,   -0.161334,   -7.674039,   -0.017572,   -0.031516,  -10.426303,   -0.024534
Sing,Metric,251108 13:20:53.524470,   14.000000,  375.000000,  450.000000,   -0.368031,   -0.604598,   -0.135225,   -6.655343,   -0.017417,   -0.034411,  -10.426303,   -0.023345
Sing,Metric,251108 13:21:03.356092,   14.000000,  375.000000,  450.000000,   -0.208926,   -0.213539,   -0.111872,   -5.742231,   -0.017367,   -0.033694,  -10.426303,   -0.023880
Sing,Metric,251108 13:21:16.559144,   14.000000,  375.000000,  450.000000,   -0.016666,    0.352818,   -0.079739,   -4.709166,   -0.017634,   -0.032124,  -10.426303,   -0.025361
Sing,Metric,251108 13:21:29.180177,   14.000000,  375.000000,  450.000000,    0.113113,    0.742028,   -0.057892,   -3.713740,   -0.017156,   -0.034179,  -10.426303,   -0.024256
Sing,Metric,251108 13:21:40.260260,   14.000000,  375.000000,  450.000000,    0.213593,    1.027099,   -0.041130,   -2.754729,   -0.018814,   -0.033594,  -10.426303,   -0.026033
Sing,Metric,251108 13:21:52.540067,   14.000000,  375.000000,  450.000000,    0.343584,    1.482552,   -0.015426,   -1.743346,   -0.018476,   -0.033856,  -10.426303,   -0.025651
Sing,Metric,251108 13:22:02.077089,   14.000000,  375.000000,  450.000000,    0.466722,    1.925575,    0.009780,   -0.725455,   -0.018653,   -0.035566,  -10.426303,   -0.026220
Sing,Metric,251108 13:22:10.941065,   14.000000,  375.000000,  450.000000,    0.615831,    2.338871,    0.034918,    0.351999,   -0.017119,   -0.035953,  -10.426303,   -0.025416
Sing,Metric,251108 13:22:21.952061,   14.000000,  375.000000,  450.000000,    0.715571,    2.645099,    0.053743,    1.339887,   -0.018285,   -0.031958,  -10.426303,   -0.025002
Sing,Metric,251108 13:22:29.708032,   14.000000,  375.000000,  450.000000,    0.826216,    3.100228,    0.080617,    2.280995,   -0.016943,   -0.033340,  -10.426303,   -0.026219
Sing,Metric,251108 13:22:38.512251,   14.000000,  375.000000,  450.000000,    0.914738,    3.418539,    0.099724,    3.283041,   -0.016925,   -0.033009,  -10.426303,   -0.024455
Sing,Metric,251108 13:22:50.517732,   14.000000,  375.000000,  450.000000,    1.013112,    3.915372,    0.128956,    4.327925,   -0.016923,   -0.032781,  -10.426303,   -0.024842
Sing,Metric,251108 13:23:05.956318,   14.000000,  375.000000,  450.000000,    1.107379,    4.322450,    0.153288,    5.348891,   -0.018809,   -0.033080,  -10.426303,   -0.026142
Sing,Metric,251108 13:23:18.788767,   14.000000,  375.000000,  450.000000,    1.192096,    4.642728,    0.172975,    6.342627,   -0.018167,   -0.033045,  -10.426303,   -0.024695
Sing,Metric,251108 13:23:35.699769,   14.000000,  375.000000,  450.000000,    1.260737,    5.057719,    0.197337,    7.306641,   -0.017168,   -0.035358,  -10.426303,   -0.024670
Sing,Metric,251108 13:23:46.956149,   14.000000,  375.000000,  450.000000,    1.315963,    5.502447,    0.223099,    8.316311,   -0.017523,   -0.033952,  -10.426303,   -0.024897
Sing,Metric,251108 13:24:01.693125,   14.000000,  375.000000,  450.000000,    1.383416,    5.939818,    0.249480,    9.318245,   -0.017919,   -0.035311,  -10.426303,   -0.024039
Sing,Metric,251108 13:24:12.396857,   14.000000,  375.000000,  450.000000,    1.444292,    6.313349,    0.271234,   10.265664,   -0.017824,   -0.034646,  -10.426303,   -0.023951
Sing,Metric,251108 13:24:19.397166,   14.000000,  375.000000,  450.000000,    1.500637,    6.710909,    0.294242,   11.315819,   -0.018377,   -0.035190,  -10.426303,   -0.023721
Sing,Metric,251108 13:24:30.216164,   14.000000,  375.000000,  450.000000,    1.551124,    7.083197,    0.315870,   12.301197,   -0.017573,   -0.034411,  -10.426303,   -0.022994
Sing,Metric,251108 13:24:39.819752,   14.000000,  375.000000,  450.000000,    1.590378,    7.428213,    0.336758,   13.326977,   -0.017841,   -0.033749,  -10.426303,   -0.023914
Sing,Metric,251108 13:25:02.894609,   14.000000,  375.000000,  450.000000,    1.615639,    7.776730,    0.358098,   14.326912,   -0.017195,   -0.036186,  -10.426303,   -0.023581
Sing,Metric,251108 13:25:11.458214,   14.000000,  375.000000,  450.000000,    1.644276,    8.056004,    0.375528,   15.281626,   -0.017175,   -0.031848,  -10.426303,   -0.024399
Sing,Metric,251108 13:25:22.338220,   14.000000,  375.000000,  450.000000,    1.681664,    8.390404,    0.396343,   16.300540,   -0.018591,   -0.033537,  -10.426303,   -0.023624
Sing,Metric,251108 13:25:32.821147,   14.000000,  375.000000,  450.000000,    1.688973,    8.696349,    0.416848,   17.342679,   -0.017984,   -0.033166,  -10.426303,   -0.024186
Sing,Metric,251108 13:25:48.540907,   14.000000,  375.000000,  450.000000,    1.702883,    9.001256,    0.436273,   18.298899,   -0.016984,   -0.033371,  -10.426303,   -0.026443
