Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251108 13:00:12.424090,14,375,450,-1.754203,0.214927,-0.023111,-16.719578,-0.019114,-0.030693,-10.426303,-0.02486
Sing,Metric,251108 13:00:25.452974,14,375,450,-1.642675,0.190696,-0.022157,-15.675549,-0.017884,-0.035095,-10.426303,-0.024184
Sing,Metric,251108 13:00:43.751321,14,375,450,-1.509657,0.162423,-0.020733,-14.729199,-0.01915,-0.034686,-10.426303,-0.024861
Sing,Metric,251108 13:01:01.052322,14,375,450,-1.402326,0.142053,-0.019488,-13.749485,-0.017978,-0.033673,-10.426303,-0.024646
Sing,Metric,251108 13:01:13.918374,14,375,450,-1.261227,0.122149,-0.018144,-12.71065,-0.018522,-0.033413,-10.426303,-0.025695
Sing,Metric,251108 13:01:23.476360,14,375,450,-1.146409,0.097536,-0.016917,-11.734348,-0.017572,-0.033508,-10.426303,-0.025465
Sing,Metric,251108 13:01:43.674129,14,375,450,-1.038771,0.086836,-0.015424,-10.685661,-0.018827,-0.032151,-10.426303,-0.025596
Sing,Metric,251108 13:02:01.625767,14,375,450,-0.915004,0.071484,-0.013883,-9.666698,-0.017649,-0.032976,-10.426303,-0.025161
Sing,Metric,251108 13:02:12.196338,14,375,450,-0.806962,0.047904,-0.012558,-8.723494,-0.017741,-0.034792,-10.426303,-0.027275
Sing,Metric,251108 13:02:22.532879,14,375,450,-0.683301,0.033845,-0.010677,-7.675826,-0.017369,-0.033288,-10.426303,-0.023552
Sing,Metric,251108 13:02:37.069007,14,375,450,-0.573376,0.018967,-0.009329,-6.652663,-0.017658,-0.035313,-10.426303,-0.024939
Sing,Metric,251108 13:02:46.052016,14,375,450,-0.454886,0.016719,-0.007537,-5.69439,-0.018021,-0.034238,-10.426303,-0.024426
Sing,Metric,251108 13:02:54.852574,14,375,450,-0.352508,0.002429,-0.005858,-4.708398,-0.018814,-0.03304,-10.426303,-0.024771
Sing,Metric,251108 13:03:03.844572,14,375,450,-0.244316,-0.002098,-0.004232,-3.707845,-0.0185,-0.034552,-10.426303,-0.024107
Sing,Metric,251108 13:03:14.844578,14,375,450,-0.111974,-0.004325,-0.002092,-2.747483,-0.018241,-0.034114,-10.426303,-0.025559
Sing,Metric,251108 13:03:23.892882,14,375,450,-0.002434,-0.007304,-0.000198,-1.739306,-0.018401,-0.035839,-10.426303,-0.024281
Sing,Metric,251108 13:03:33.204486,14,375,450,0.105805,-0.004942,0.001638,-0.719919,-0.01754,-0.036216,-10.426303,-0.025999
Sing,Metric,251108 13:03:41.740517,14,375,450,0.226869,-0.009216,0.003686,0.316129,-0.018807,-0.035005,-10.426303,-0.025912
Sing,Metric,251108 13:03:56.373953,14,375,450,0.35054,-0.004991,0.005931,1.348893,-0.019563,-0.03351,-10.426303,-0.024633
Sing,Metric,251108 13:04:06.357556,14,375,450,0.450695,0.001069,0.007767,2.253609,-0.019929,-0.034588,-10.426303,-0.024401
Sing,Metric,251108 13:04:15.988171,14,375,450,0.562462,0.007407,0.009974,3.283927,-0.018459,-0.034401,-10.426303,-0.025163
Sing,Metric,251108 13:04:25.101200,14,375,450,0.675595,0.017642,0.012285,4.276182,-0.017362,-0.037653,-10.426303,-0.026756
Sing,Metric,251108 13:04:34.813610,14,375,450,0.799543,0.025542,0.014795,5.344119,-0.01822,-0.035448,-10.426303,-0.027002
Sing,Metric,251108 13:04:50.532973,14,375,450,0.921318,0.039048,0.017166,6.341637,-0.018507,-0.033557,-10.426303,-0.025891
Sing,Metric,251108 13:05:00.516585,14,375,450,1.032335,0.050613,0.019604,7.278484,-0.017151,-0.034157,-10.426303,-0.025285
Sing,Metric,251108 13:05:10.614198,14,375,450,1.147743,0.07335,0.021997,8.31952,-0.017684,-0.032161,-10.426303,-0.024283
Sing,Metric,251108 13:05:22.398200,14,375,450,1.263089,0.081251,0.024564,9.337902,-0.018212,-0.031441,-10.426303,-0.025156
Sing,Metric,251108 13:05:30.669422,14,375,450,1.365202,0.102965,0.02682,10.25165,-0.017146,-0.03095,-10.426303,-0.027008
Sing,Metric,251108 13:05:41.337841,14,375,450,1.479296,0.122358,0.029532,11.263743,-0.017424,-0.031247,-10.426303,-0.026511
Sing,Metric,251108 13:05:57.446302,14,375,450,1.623045,0.145499,0.032781,12.293306,-0.018764,-0.033666,-10.426303,-0.026346
Sing,Metric,251108 13:06:04.621483,14,375,450,1.725252,0.175333,0.035394,13.313984,-0.017359,-0.032543,-10.426303,-0.025729
Sing,Metric,251108 13:06:23.277475,14,375,450,1.851498,0.196494,0.038351,14.345565,-0.018101,-0.033643,-10.426303,-0.02445
Sing,Metric,251108 13:06:33.789487,14,375,450,1.957419,0.223983,0.040816,15.293931,-0.017953,-0.032699,-10.426303,-0.02499
Sing,Metric,251107 12:58:50.223802,14,375,450,1.987084,0.249498,0.043891,16.29237,-0.017476,-0.033818,-10.426303,-0.023437
Sing,Metric,251108 13:06:55.253627,14,375,450,2.196384,0.279248,0.047009,17.272437,-0.017622,-0.032859,-10.426303,-0.025003
Sing,Metric,251108 13:07:08.405018,14,375,450,2.300393,0.309773,0.049756,18.263012,-0.017724,-0.036863,-10.426303,-0.024243
