Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251108 10:42:30.621418,   14.000000,  375.000000,  450.000000,   -1.330305,   -4.235274,   -0.261729,  -16.578317,   -0.019399,   -0.031659,  -10.426303,   -0.025587
Sing,Metric,251108 10:42:35.696420,   14.000000,  375.000000,  450.000000,   -1.258755,   -4.143227,   -0.269460,  -15.699002,   -0.019059,   -0.031860,  -10.426303,   -0.025489
Sing,Metric,251108 10:42:41.306972,   14.000000,  375.000000,  450.000000,   -1.185967,   -3.832312,   -0.281365,  -14.672336,   -0.018190,   -0.034197,  -10.426303,   -0.027670
Sing,Metric,251108 10:42:45.638586,   14.000000,  375.000000,  450.000000,   -1.159513,   -3.515470,   -0.287529,  -13.778243,   -0.020599,   -0.035400,  -10.426303,   -0.027312
Sing,Metric,251108 10:42:50.710552,   14.000000,  375.000000,  450.000000,   -1.247633,   -3.060167,   -0.285043,  -12.679762,   -0.019020,   -0.030978,  -10.426303,   -0.025346
Sing,Metric,251108 10:42:57.170578,   14.000000,  375.000000,  450.000000,   -1.142628,   -2.682122,   -0.264530,  -11.705865,   -0.021123,   -0.033585,  -10.426303,   -0.024624
Sing,Metric,251108 10:43:02.622931,   14.000000,  375.000000,  450.000000,   -0.983534,   -2.327432,   -0.243120,  -10.670511,   -0.020464,   -0.033869,  -10.426303,   -0.024803
Sing,Metric,251108 10:43:07.852962,   14.000000,  375.000000,  450.000000,   -0.818176,   -1.948308,   -0.218872,   -9.669583,   -0.019337,   -0.034162,  -10.426303,   -0.024327
Sing,Metric,251108 10:43:14.958138,   14.000000,  375.000000,  450.000000,   -0.649430,   -1.608534,   -0.197388,   -8.593030,   -0.019225,   -0.031926,  -10.426303,   -0.024430
Sing,Metric,251108 10:43:20.231103,   14.000000,  375.000000,  450.000000,   -0.481552,   -1.199139,   -0.170907,   -7.664843,   -0.019029,   -0.031795,  -10.426303,   -0.024694
Sing,Metric,251108 10:43:25.486713,   14.000000,  375.000000,  450.000000,   -0.326417,   -0.820420,   -0.145844,   -6.684289,   -0.020806,   -0.035105,  -10.426303,   -0.023808
Sing,Metric,251108 10:43:30.854722,   14.000000,  375.000000,  450.000000,   -0.184398,   -0.452634,   -0.122010,   -5.745964,   -0.020313,   -0.034543,  -10.426303,   -0.024601
Sing,Metric,251108 10:43:36.003727,   14.000000,  375.000000,  450.000000,   -0.025608,   -0.042186,   -0.094922,   -4.609861,   -0.017869,   -0.034623,  -10.426303,   -0.025354
Sing,Metric,251108 10:43:41.492722,   14.000000,  375.000000,  450.000000,    0.093260,    0.295926,   -0.072557,   -3.723288,   -0.017266,   -0.031367,  -10.426303,   -0.024591
Sing,Metric,251108 10:43:46.758687,   14.000000,  375.000000,  450.000000,    0.220353,    0.659329,   -0.047712,   -2.728882,   -0.017579,   -0.031769,  -10.426303,   -0.024239
Sing,Metric,251108 10:43:51.422867,   14.000000,  375.000000,  450.000000,    0.349355,    1.024284,   -0.022786,   -1.766807,   -0.017084,   -0.031052,  -10.426303,   -0.024832
Sing,Metric,251108 10:43:56.102463,   14.000000,  375.000000,  450.000000,    0.478314,    1.455387,    0.006329,   -0.728298,   -0.018444,   -0.030555,  -10.426303,   -0.026076
Sing,Metric,251108 10:44:00.660803,   14.000000,  375.000000,  450.000000,    0.583524,    1.830255,    0.031864,    0.308303,   -0.019363,   -0.032022,  -10.426303,   -0.026545
Sing,Metric,251108 10:44:04.493716,   14.000000,  375.000000,  450.000000,    0.697554,    2.232257,    0.058984,    1.321107,   -0.017351,   -0.035004,  -10.426303,   -0.026546
Sing,Metric,251108 10:44:09.356716,   14.000000,  375.000000,  450.000000,    0.803070,    2.626152,    0.086256,    2.234180,   -0.018272,   -0.032995,  -10.426303,   -0.026562
Sing,Metric,251108 10:44:13.206108,   14.000000,  375.000000,  450.000000,    0.892688,    3.031203,    0.113282,    3.264649,   -0.019572,   -0.031963,  -10.426303,   -0.025931
Sing,Metric,251108 10:44:17.791108,   14.000000,  375.000000,  450.000000,    0.981021,    3.459333,    0.141709,    4.427697,   -0.018549,   -0.032529,  -10.426303,   -0.023743
Sing,Metric,251108 10:44:22.758491,   14.000000,  375.000000,  450.000000,    1.054765,    3.829426,    0.164976,    5.332077,   -0.017625,   -0.034791,  -10.426303,   -0.024527
Sing,Metric,251108 10:44:26.966505,   14.000000,  375.000000,  450.000000,    1.138237,    4.332876,    0.196484,    6.385622,   -0.018428,   -0.035423,  -10.426303,   -0.024917
Sing,Metric,251108 10:44:32.006470,   14.000000,  375.000000,  450.000000,    1.206243,    4.746155,    0.222321,    7.213857,   -0.018783,   -0.032296,  -10.426303,   -0.025896
Sing,Metric,251108 10:44:37.870204,   14.000000,  375.000000,  450.000000,    1.279045,    5.163259,    0.247271,    8.301419,   -0.018109,   -0.034216,  -10.426303,   -0.025827
Sing,Metric,251108 10:44:43.357892,   14.000000,  375.000000,  450.000000,    1.330819,    5.609196,    0.273949,    9.323055,   -0.019513,   -0.032406,  -10.426303,   -0.027017
Sing,Metric,251108 10:44:49.478884,   14.000000,  375.000000,  450.000000,    1.381484,    6.107477,    0.303902,   10.279293,   -0.017915,   -0.030900,  -10.426303,   -0.026933
Sing,Metric,251108 10:44:55.381889,   14.000000,  375.000000,  450.000000,    1.410166,    6.540750,    0.329021,   11.340104,   -0.017457,   -0.030922,  -10.426303,   -0.026827
Sing,Metric,251108 10:45:02.334047,   14.000000,  375.000000,  450.000000,    1.458062,    7.016392,    0.357051,   12.248265,   -0.017869,   -0.031213,  -10.426303,   -0.026757
Sing,Metric,251108 10:45:08.191010,   14.000000,  375.000000,  450.000000,    1.487607,    7.393560,    0.378263,   13.307427,   -0.017912,   -0.029986,  -10.426303,   -0.025630
Sing,Metric,251108 10:45:13.693907,   14.000000,  375.000000,  450.000000,    1.528433,    7.799572,    0.402072,   14.325454,   -0.019086,   -0.033565,  -10.426303,   -0.024613
Sing,Metric,251108 10:45:18.320884,   14.000000,  375.000000,  450.000000,    1.549015,    8.181279,    0.424505,   15.361819,   -0.018622,   -0.032626,  -10.426303,   -0.024682
Sing,Metric,251108 10:45:22.878756,   14.000000,  375.000000,  450.000000,    1.565992,    8.631737,    0.450424,   16.359091,   -0.019750,   -0.032053,  -10.426303,   -0.022987
Sing,Metric,251108 10:45:28.087743,   14.000000,  375.000000,  450.000000,    1.589171,    9.030341,    0.473149,   17.330630,   -0.018765,   -0.031441,  -10.426303,   -0.025745
Sing,Metric,251108 10:45:36.526779,   14.000000,  375.000000,  450.000000,    1.604262,    9.519037,    0.498854,   18.267761,   -0.017624,   -0.031050,  -10.426303,   -0.023826
