Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251108 10:31:16.487376,   14.000000,  375.000000,  450.000000,   -1.720494,    0.217037,   -0.022094,  -16.746737,   -0.017567,   -0.032145,  -10.426303,   -0.025990
Sing,Metric,251108 10:31:25.061407,   14.000000,  375.000000,  450.000000,   -1.590900,    0.179623,   -0.020975,  -15.577549,   -0.017843,   -0.033928,  -10.426303,   -0.024282
Sing,Metric,251108 10:31:30.023375,   14.000000,  375.000000,  450.000000,   -1.483654,    0.158849,   -0.019965,  -14.667140,   -0.020979,   -0.033651,  -10.426303,   -0.025736
Sing,Metric,251108 10:31:36.494376,   14.000000,  375.000000,  450.000000,   -1.364680,    0.137579,   -0.018912,  -13.769868,   -0.020091,   -0.033190,  -10.426303,   -0.027238
Sing,Metric,251108 10:31:43.438506,   14.000000,  375.000000,  450.000000,   -1.247931,    0.118008,   -0.017532,  -12.736291,   -0.019246,   -0.031884,  -10.426303,   -0.026462
Sing,Metric,251108 10:31:49.661411,   14.000000,  375.000000,  450.000000,   -1.123485,    0.101570,   -0.016307,  -11.744630,   -0.018131,   -0.036994,  -10.426303,   -0.025074
Sing,Metric,251108 10:31:55.470415,   14.000000,  375.000000,  450.000000,   -1.004294,    0.078083,   -0.014835,  -10.655537,   -0.019557,   -0.035663,  -10.426303,   -0.024855
Sing,Metric,251108 10:32:03.166382,   14.000000,  375.000000,  450.000000,   -0.876397,    0.058999,   -0.013232,   -9.502035,   -0.018000,   -0.033706,  -10.426303,   -0.025885
Sing,Metric,251108 10:32:12.430417,   14.000000,  375.000000,  450.000000,   -0.776339,    0.047582,   -0.012048,   -8.759749,   -0.018016,   -0.034527,  -10.426303,   -0.024599
Sing,Metric,251108 10:32:18.398409,   14.000000,  375.000000,  450.000000,   -0.668825,    0.033016,   -0.010314,   -7.698590,   -0.019210,   -0.034530,  -10.426303,   -0.024955
Sing,Metric,251108 10:32:23.110421,   14.000000,  375.000000,  450.000000,   -0.553541,    0.025519,   -0.008746,   -6.678133,   -0.017120,   -0.033486,  -10.426303,   -0.026089
Sing,Metric,251108 10:32:28.062983,   14.000000,  375.000000,  450.000000,   -0.439246,    0.018696,   -0.007068,   -5.622012,   -0.017410,   -0.034338,  -10.426303,   -0.027098
Sing,Metric,251108 10:32:32.190545,   14.000000,  375.000000,  450.000000,   -0.325734,    0.011903,   -0.005241,   -4.731401,   -0.016938,   -0.033280,  -10.426303,   -0.025400
Sing,Metric,251108 10:32:36.414582,   14.000000,  375.000000,  450.000000,   -0.216222,    0.001714,   -0.003653,   -3.719100,   -0.018032,   -0.031280,  -10.426303,   -0.024828
Sing,Metric,251108 10:32:44.478576,   14.000000,  375.000000,  450.000000,   -0.091800,   -0.003883,   -0.001812,   -2.819094,   -0.018336,   -0.031089,  -10.426303,   -0.025554
Sing,Metric,251108 10:32:50.950172,   14.000000,  375.000000,  450.000000,    0.027680,   -0.008256,    0.000241,   -1.617933,   -0.019548,   -0.032653,  -10.426303,   -0.026346
Sing,Metric,251108 10:32:56.540641,   14.000000,  375.000000,  450.000000,    0.140700,   -0.001594,    0.002229,   -0.728350,   -0.020719,   -0.031124,  -10.426303,   -0.027405
Sing,Metric,251108 10:33:01.233222,   14.000000,  375.000000,  450.000000,    0.248957,    0.001879,    0.004273,    0.333579,   -0.019904,   -0.030365,  -10.426303,   -0.026346
Sing,Metric,251108 10:33:07.108209,   14.000000,  375.000000,  450.000000,    0.387313,    0.000114,    0.006646,    1.321358,   -0.021063,   -0.031039,  -10.426303,   -0.025769
