Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251108 10:08:36.138054,   14.000000,  375.000000,  450.000000,   -1.649899,   -0.887273,   -0.078345,  -16.739581,   -0.017369,   -0.035262,  -10.426303,   -0.025710
Sing,Metric,251108 10:08:46.422022,   14.000000,  375.000000,  450.000000,   -1.569299,   -0.849829,   -0.087101,  -15.690613,   -0.017460,   -0.034417,  -10.426303,   -0.026769
Sing,Metric,251108 10:08:58.415106,   14.000000,  375.000000,  450.000000,   -1.446964,   -0.817966,   -0.089433,  -14.698510,   -0.018279,   -0.034866,  -10.426303,   -0.027310
Sing,Metric,251108 10:09:09.128073,   14.000000,  375.000000,  450.000000,   -1.351211,   -0.747523,   -0.088007,  -13.735353,   -0.019148,   -0.035880,  -10.426303,   -0.026884
Sing,Metric,251108 10:09:16.751273,   14.000000,  375.000000,  450.000000,   -1.265168,   -0.643041,   -0.082115,  -12.731880,   -0.018764,   -0.033762,  -10.426303,   -0.027505
Sing,Metric,251108 10:09:25.659294,   14.000000,  375.000000,  450.000000,   -1.129624,   -0.560623,   -0.074948,  -11.704272,   -0.018910,   -0.035603,  -10.426303,   -0.027705
Sing,Metric,251108 10:09:36.303862,   14.000000,  375.000000,  450.000000,   -1.005134,   -0.510435,   -0.069529,  -10.650992,   -0.017953,   -0.034993,  -10.426303,   -0.025467
Sing,Metric,251108 10:09:46.079996,   14.000000,  375.000000,  450.000000,   -0.878289,   -0.443277,   -0.063193,   -9.654873,   -0.018764,   -0.031485,  -10.426303,   -0.025451
Sing,Metric,251108 10:09:53.559899,   14.000000,  375.000000,  450.000000,   -0.759267,   -0.341157,   -0.054926,   -8.726156,   -0.018547,   -0.031985,  -10.426303,   -0.024987
Sing,Metric,251108 10:10:00.903903,   14.000000,  375.000000,  450.000000,   -0.639264,   -0.281198,   -0.049032,   -7.690757,   -0.017742,   -0.031552,  -10.426303,   -0.025725
Sing,Metric,251108 10:10:07.942874,   14.000000,  375.000000,  450.000000,   -0.512048,   -0.205071,   -0.042019,   -6.682772,   -0.017996,   -0.033371,  -10.426303,   -0.025022
