Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251108 09:58:42.081708,   14.000000,  375.000000,  450.000000,   -1.742597,    0.213002,   -0.022589,  -16.734575,   -0.019731,   -0.039217,  -10.426303,   -0.025180
Sing,Metric,251108 09:59:01.474771,   14.000000,  375.000000,  450.000000,   -1.620867,    0.183021,   -0.021510,  -15.682218,   -0.017015,   -0.040903,  -10.426303,   -0.026858
Sing,Metric,251108 09:59:11.968815,   14.000000,  375.000000,  450.000000,   -1.495044,    0.159243,   -0.020133,  -14.654267,   -0.017413,   -0.035801,  -10.426303,   -0.026160
Sing,Metric,251108 09:59:27.220371,   14.000000,  375.000000,  450.000000,   -1.375595,    0.134647,   -0.018931,  -13.682816,   -0.017537,   -0.038179,  -10.426303,   -0.027765
Sing,Metric,251108 09:59:35.584345,   14.000000,  375.000000,  450.000000,   -1.255777,    0.115884,   -0.017618,  -12.659458,   -0.017758,   -0.037992,  -10.426303,   -0.028808
Sing,Metric,251108 09:59:46.832944,   14.000000,  375.000000,  450.000000,   -1.134648,    0.094704,   -0.016325,  -11.684083,   -0.018666,   -0.033827,  -10.426303,   -0.025979
Sing,Metric,251108 10:00:09.407537,   14.000000,  375.000000,  450.000000,   -1.026652,    0.077805,   -0.015036,  -10.692432,   -0.020948,   -0.032434,  -10.426303,   -0.025850
Sing,Metric,251108 10:00:18.800531,   14.000000,  375.000000,  450.000000,   -0.893910,    0.062928,   -0.013236,   -9.664552,   -0.018232,   -0.034543,  -10.426303,   -0.027393
Sing,Metric,251108 10:00:28.633502,   14.000000,  375.000000,  450.000000,   -0.798959,    0.050786,   -0.012117,   -8.734515,   -0.018369,   -0.038045,  -10.426303,   -0.028100
Sing,Metric,251108 10:00:37.431540,   14.000000,  375.000000,  450.000000,   -0.682594,    0.037178,   -0.010490,   -7.679135,   -0.018714,   -0.037564,  -10.426303,   -0.027590
Sing,Metric,251108 10:00:44.487358,   14.000000,  375.000000,  450.000000,   -0.568579,    0.026302,   -0.008955,   -6.666143,   -0.017634,   -0.038905,  -10.426303,   -0.026152
Sing,Metric,251108 10:00:54.361309,   14.000000,  375.000000,  450.000000,   -0.464763,    0.014237,   -0.007272,   -5.740964,   -0.018955,   -0.036443,  -10.426303,   -0.025891
Sing,Metric,251108 10:01:06.782931,   14.000000,  375.000000,  450.000000,   -0.342675,    0.012067,   -0.005307,   -4.722523,   -0.019175,   -0.037282,  -10.426303,   -0.027642
Sing,Metric,251108 10:01:23.174897,   14.000000,  375.000000,  450.000000,   -0.230507,    0.004259,   -0.003692,   -3.711821,   -0.018637,   -0.037533,  -10.426303,   -0.027113
Sing,Metric,251108 10:01:38.369071,   14.000000,  375.000000,  450.000000,   -0.102427,   -0.002356,   -0.001802,   -2.649877,   -0.017443,   -0.038235,  -10.426303,   -0.027839
Sing,Metric,251108 10:01:51.328071,   14.000000,  375.000000,  450.000000,    0.007550,   -0.000666,   -0.000060,   -1.650870,   -0.018508,   -0.037674,  -10.426303,   -0.027314
Sing,Metric,251108 10:02:03.215096,   14.000000,  375.000000,  450.000000,    0.106017,   -0.004664,    0.001644,   -0.740950,   -0.018012,   -0.035513,  -10.426303,   -0.026422
Sing,Metric,251108 10:02:13.944686,   14.000000,  375.000000,  450.000000,    0.235518,    0.001865,    0.004150,    0.300343,   -0.016783,   -0.036043,  -10.426303,   -0.025166
Sing,Metric,251108 10:02:21.967626,   14.000000,  375.000000,  450.000000,    0.348022,    0.004925,    0.006162,    1.337649,   -0.017177,   -0.035752,  -10.426303,   -0.026748
Sing,Metric,251108 10:02:33.390012,   14.000000,  375.000000,  450.000000,    0.462697,    0.006124,    0.008295,    2.319377,   -0.018071,   -0.036738,  -10.426303,   -0.026870
Sing,Metric,251108 10:02:46.231983,   14.000000,  375.000000,  450.000000,    0.579704,    0.014776,    0.010427,    3.269427,   -0.016836,   -0.036880,  -10.426303,   -0.027258
Sing,Metric,251108 10:02:53.049013,   14.000000,  375.000000,  450.000000,    0.681312,    0.018806,    0.012536,    4.264286,   -0.018394,   -0.038205,  -10.426303,   -0.027158
Sing,Metric,251108 10:03:02.864567,   14.000000,  375.000000,  450.000000,    0.803351,    0.031681,    0.014861,    5.329962,   -0.020759,   -0.039435,  -10.426303,   -0.028820
Sing,Metric,251108 10:03:10.151150,   14.000000,  375.000000,  450.000000,    0.927370,    0.040737,    0.017541,    6.312908,   -0.017631,   -0.037334,  -10.426303,   -0.029460
Sing,Metric,251108 10:03:18.805152,   14.000000,  375.000000,  450.000000,    1.041959,    0.058941,    0.020016,    7.276124,   -0.016966,   -0.037224,  -10.426303,   -0.027098
Sing,Metric,251108 10:03:27.328117,   14.000000,  375.000000,  450.000000,    1.153589,    0.070875,    0.022450,    8.302206,   -0.016904,   -0.037025,  -10.426303,   -0.027117
Sing,Metric,251108 10:03:37.047117,   14.000000,  375.000000,  450.000000,    1.272457,    0.089917,    0.024856,    9.341381,   -0.016442,   -0.036064,  -10.426303,   -0.025982
