Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251101 08:26:32.636675,   14.000000,  375.000000,  450.000000,   -1.641294,   -0.942055,   -0.079695,  -16.702816,   -0.019490,   -0.033990,  -10.426303,   -0.023549
Sing,Metric,251101 08:26:44.328554,   14.000000,  375.000000,  450.000000,   -1.532747,   -0.943977,   -0.086289,  -15.657849,   -0.019418,   -0.032479,  -10.426303,   -0.024657
Sing,Metric,251101 08:26:57.217129,   14.000000,  375.000000,  450.000000,   -1.433872,   -0.886744,   -0.087114,  -14.705352,   -0.019731,   -0.032995,  -10.426303,   -0.022653
Sing,Metric,251101 08:27:07.098129,   14.000000,  375.000000,  450.000000,   -1.345830,   -0.775768,   -0.085944,  -13.738356,   -0.019877,   -0.034535,  -10.426303,   -0.024189
Sing,Metric,251101 08:27:17.682128,   14.000000,  375.000000,  450.000000,   -1.232462,   -0.700825,   -0.080304,  -12.696134,   -0.021635,   -0.033425,  -10.426303,   -0.023571
Sing,Metric,251101 08:27:29.449754,   14.000000,  375.000000,  450.000000,   -1.114595,   -0.603242,   -0.072688,  -11.678870,   -0.018705,   -0.035227,  -10.426303,   -0.024552
Sing,Metric,251101 08:27:38.145119,   14.000000,  375.000000,  450.000000,   -0.999387,   -0.512303,   -0.065707,  -10.679904,   -0.019373,   -0.033568,  -10.426303,   -0.023852
Sing,Metric,251101 08:27:48.869150,   14.000000,  375.000000,  450.000000,   -0.868045,   -0.442907,   -0.058796,   -9.731270,   -0.021197,   -0.031813,  -10.426303,   -0.024611
Sing,Metric,251101 08:27:59.785121,   14.000000,  375.000000,  450.000000,   -0.746956,   -0.385720,   -0.053158,   -8.702952,   -0.018893,   -0.033737,  -10.426303,   -0.023635
Sing,Metric,251101 08:28:08.950236,   14.000000,  375.000000,  450.000000,   -0.626167,   -0.276129,   -0.044342,   -7.660004,   -0.020585,   -0.034406,  -10.426303,   -0.023610
Sing,Metric,251101 08:28:21.354603,   14.000000,  375.000000,  450.000000,   -0.496803,   -0.232550,   -0.039089,   -6.665544,   -0.019292,   -0.033191,  -10.426303,   -0.024162
Sing,Metric,251101 08:28:38.522168,   14.000000,  375.000000,  450.000000,   -0.386594,   -0.193508,   -0.034490,   -5.720794,   -0.019099,   -0.033482,  -10.426303,   -0.026091
Sing,Metric,251101 08:28:48.425577,   14.000000,  375.000000,  450.000000,   -0.260017,   -0.101701,   -0.026975,   -4.688755,   -0.020321,   -0.034389,  -10.426303,   -0.025520
Sing,Metric,251101 08:28:56.729907,   14.000000,  375.000000,  450.000000,   -0.155393,   -0.025155,   -0.020059,   -3.692087,   -0.019275,   -0.033898,  -10.426303,   -0.025052
Sing,Metric,251101 08:29:06.762493,   14.000000,  375.000000,  450.000000,   -0.025179,    0.069160,   -0.012057,   -2.733276,   -0.019905,   -0.035898,  -10.426303,   -0.024090
Sing,Metric,251101 08:29:17.524096,   14.000000,  375.000000,  450.000000,    0.096849,    0.155900,   -0.004458,   -1.724889,   -0.019215,   -0.033853,  -10.426303,   -0.022955
Sing,Metric,251101 08:29:26.345067,   14.000000,  375.000000,  450.000000,    0.195767,    0.276394,    0.003466,   -0.712407,   -0.017956,   -0.031768,  -10.426303,   -0.023285
Sing,Metric,251101 08:29:36.330701,   14.000000,  375.000000,  450.000000,    0.329165,    0.353016,    0.010214,    0.336989,   -0.018589,   -0.038336,  -10.426303,   -0.024664
Sing,Metric,251101 08:29:51.416970,   14.000000,  375.000000,  450.000000,    0.452745,    0.458763,    0.017105,    1.297925,   -0.017726,   -0.035636,  -10.426303,   -0.024152
Sing,Metric,251101 08:30:06.860660,   14.000000,  375.000000,  450.000000,    0.549041,    0.560005,    0.023854,    2.257590,   -0.017918,   -0.034131,  -10.426303,   -0.025632
Sing,Metric,251101 08:30:19.130735,   14.000000,  375.000000,  450.000000,    0.658193,    0.662857,    0.030979,    3.288796,   -0.017798,   -0.034018,  -10.426303,   -0.025695
Sing,Metric,251101 08:30:29.841713,   14.000000,  375.000000,  450.000000,    0.771713,    0.745271,    0.036668,    4.346782,   -0.018583,   -0.033273,  -10.426303,   -0.024626
Sing,Metric,251101 08:30:54.498326,   14.000000,  375.000000,  450.000000,    0.886912,    0.915748,    0.046591,    5.255036,   -0.019199,   -0.032984,  -10.426303,   -0.023267
Sing,Metric,251101 08:31:04.802687,   14.000000,  375.000000,  450.000000,    0.983380,    0.988283,    0.052182,    6.259349,   -0.017762,   -0.032218,  -10.426303,   -0.023712
Sing,Metric,251101 08:31:15.840898,   14.000000,  375.000000,  450.000000,    1.081071,    1.164447,    0.063660,    7.304906,   -0.018276,   -0.034289,  -10.426303,   -0.025010
Sing,Metric,251101 08:31:28.096898,   14.000000,  375.000000,  450.000000,    1.191904,    1.248031,    0.070349,    8.329008,   -0.017299,   -0.036660,  -10.426303,   -0.024267
Sing,Metric,251101 08:31:38.921473,   14.000000,  375.000000,  450.000000,    1.309393,    1.314074,    0.076044,    9.291620,   -0.018984,   -0.035943,  -10.426303,   -0.026232
Sing,Metric,251101 08:31:50.305653,   14.000000,  375.000000,  450.000000,    1.408423,    1.398054,    0.082534,   10.261688,   -0.021534,   -0.034900,  -10.426303,   -0.024613
Sing,Metric,251101 08:31:59.680622,   14.000000,  375.000000,  450.000000,    1.500172,    1.521138,    0.090946,   11.280412,   -0.019533,   -0.034204,  -10.426303,   -0.024071
Sing,Metric,251101 08:32:16.502929,   14.000000,  375.000000,  450.000000,    1.606543,    1.667022,    0.100840,   12.289889,   -0.019030,   -0.031738,  -10.426303,   -0.027303
Sing,Metric,251101 08:32:28.104930,   14.000000,  375.000000,  450.000000,    1.694342,    1.761042,    0.107950,   13.312866,   -0.019923,   -0.033037,  -10.426303,   -0.025688
Sing,Metric,251101 08:32:42.505192,   14.000000,  375.000000,  450.000000,    1.793834,    1.888568,    0.116726,   14.338049,   -0.020047,   -0.032612,  -10.426303,   -0.024749
Sing,Metric,251101 08:32:54.161379,   14.000000,  375.000000,  450.000000,    1.894625,    2.018688,    0.125575,   15.297919,   -0.019227,   -0.032208,  -10.426303,   -0.026125
Sing,Metric,251101 08:33:05.682118,   14.000000,  375.000000,  450.000000,    1.971169,    2.108507,    0.132121,   16.315849,   -0.018691,   -0.032423,  -10.426303,   -0.025612
Sing,Metric,251101 08:33:19.154203,   14.000000,  375.000000,  450.000000,    2.071514,    2.242040,    0.140336,   17.334911,   -0.020008,   -0.035504,  -10.426303,   -0.027459
Sing,Metric,251101 08:33:30.826136,   14.000000,  375.000000,  450.000000,    2.159802,    2.285487,    0.144956,   18.383783,   -0.018225,   -0.034625,  -10.426303,   -0.027464
