Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251101 08:15:47.932641,   14.000000,  375.000000,  450.000000,   -1.714759,    0.210633,   -0.022101,  -16.700098,   -0.018633,   -0.036608,  -10.426303,   -0.024742
Sing,Metric,251101 08:16:26.865167,   14.000000,  375.000000,  450.000000,   -1.611655,    0.188358,   -0.021460,  -15.742929,   -0.021965,   -0.036273,  -10.426303,   -0.026809
Sing,Metric,251101 08:16:40.122203,   14.000000,  375.000000,  450.000000,   -1.488409,    0.156747,   -0.020300,  -14.662864,   -0.020494,   -0.034739,  -10.426303,   -0.025826
Sing,Metric,251101 08:16:50.466166,   14.000000,  375.000000,  450.000000,   -1.373874,    0.138091,   -0.019074,  -13.729151,   -0.019550,   -0.038577,  -10.426303,   -0.024933
Sing,Metric,251101 08:16:58.962181,   14.000000,  375.000000,  450.000000,   -1.250958,    0.112374,   -0.017782,  -12.689042,   -0.020440,   -0.033537,  -10.426303,   -0.025623
Sing,Metric,251101 08:17:19.169550,   14.000000,  375.000000,  450.000000,   -1.125343,    0.090314,   -0.016467,  -11.669066,   -0.018314,   -0.035527,  -10.426303,   -0.025102
Sing,Metric,251101 08:17:32.544888,   14.000000,  375.000000,  450.000000,   -1.019030,    0.069176,   -0.015230,  -10.661058,   -0.018963,   -0.036787,  -10.426303,   -0.023426
Sing,Metric,251101 08:17:42.666247,   14.000000,  375.000000,  450.000000,   -0.888336,    0.047911,   -0.013456,   -9.728075,   -0.019162,   -0.036901,  -10.426303,   -0.023631
Sing,Metric,251101 08:17:55.985916,   14.000000,  375.000000,  450.000000,   -0.780807,    0.039158,   -0.012060,   -8.700418,   -0.019321,   -0.036558,  -10.426303,   -0.023180
Sing,Metric,251101 08:18:13.513513,   14.000000,  375.000000,  450.000000,   -0.675349,    0.023927,   -0.010620,   -7.651363,   -0.018312,   -0.037063,  -10.426303,   -0.024674
