Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251108 12:43:14.717547,   14.000000,  375.000000,  450.000000,   -1.402394,   -4.419442,   -0.271620,  -16.725237,   -0.018526,   -0.033548,  -10.426303,   -0.025166
Sing,Metric,251108 12:43:30.285166,   14.000000,  375.000000,  450.000000,   -1.350193,   -4.154167,   -0.296544,  -15.678076,   -0.020098,   -0.033861,  -10.426303,   -0.025345
Sing,Metric,251108 12:43:43.784734,   14.000000,  375.000000,  450.000000,   -1.305677,   -3.774305,   -0.308052,  -14.648957,   -0.019662,   -0.033586,  -10.426303,   -0.025502
Sing,Metric,251108 12:44:15.573150,   14.000000,  375.000000,  450.000000,   -1.376595,   -3.389487,   -0.303029,  -13.723083,   -0.018711,   -0.038023,  -10.426303,   -0.025607
Sing,Metric,251108 12:44:29.303195,   14.000000,  375.000000,  450.000000,   -1.321527,   -3.106481,   -0.287811,  -12.707336,   -0.016863,   -0.033221,  -10.426303,   -0.024821
Sing,Metric,251108 12:44:46.445755,   14.000000,  375.000000,  450.000000,   -1.164069,   -2.684749,   -0.260680,  -11.702695,   -0.018322,   -0.033932,  -10.426303,   -0.024329
Sing,Metric,251108 12:45:04.541791,   14.000000,  375.000000,  450.000000,   -0.986832,   -2.295887,   -0.237621,  -10.686057,   -0.020518,   -0.033671,  -10.426303,   -0.023965
Sing,Metric,251108 12:45:36.282351,   14.000000,  375.000000,  450.000000,   -0.807511,   -1.847834,   -0.211837,   -9.623683,   -0.018821,   -0.033620,  -10.426303,   -0.026897
Sing,Metric,251108 12:46:00.861507,   14.000000,  375.000000,  450.000000,   -0.664795,   -1.526809,   -0.191634,   -8.719457,   -0.018653,   -0.031634,  -10.426303,   -0.025303
Sing,Metric,251108 12:46:17.661225,   14.000000,  375.000000,  450.000000,   -0.500686,   -1.113215,   -0.166765,   -7.662426,   -0.017832,   -0.031462,  -10.426303,   -0.025282
