Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251108 12:07:53.245324,   14.000000,  375.000000,  450.000000,   -1.742336,    0.218094,   -0.022789,  -16.742298,   -0.017552,   -0.036542,  -10.426303,   -0.024903
Sing,Metric,251108 12:08:15.142324,   14.000000,  375.000000,  450.000000,   -1.616438,    0.185422,   -0.021672,  -15.679588,   -0.018381,   -0.031230,  -10.426303,   -0.022834
Sing,Metric,251108 12:08:28.870325,   14.000000,  375.000000,  450.000000,   -1.503297,    0.166463,   -0.020634,  -14.730117,   -0.019104,   -0.033536,  -10.426303,   -0.024332
Sing,Metric,251108 12:08:53.213707,   14.000000,  375.000000,  450.000000,   -1.382439,    0.137368,   -0.019486,  -13.723329,   -0.017842,   -0.032932,  -10.426303,   -0.023975
Sing,Metric,251108 12:09:03.381680,   14.000000,  375.000000,  450.000000,   -1.271964,    0.126651,   -0.018161,  -12.718325,   -0.020312,   -0.031548,  -10.426303,   -0.023606
Sing,Metric,251108 12:09:15.726339,   14.000000,  375.000000,  450.000000,   -1.144135,    0.100916,   -0.016797,  -11.702629,   -0.019641,   -0.034800,  -10.426303,   -0.025138
Sing,Metric,251108 12:10:07.837828,   14.000000,  375.000000,  450.000000,   -1.022858,    0.079459,   -0.015599,  -10.686450,   -0.019271,   -0.035771,  -10.426303,   -0.022939
Sing,Metric,251108 12:10:23.909023,   14.000000,  375.000000,  450.000000,   -0.910269,    0.061734,   -0.014132,   -9.733706,   -0.017931,   -0.034899,  -10.426303,   -0.026800
Sing,Metric,251108 12:10:38.714054,   14.000000,  375.000000,  450.000000,   -0.799014,    0.049588,   -0.012598,   -8.736959,   -0.017390,   -0.038714,  -10.426303,   -0.026705
Sing,Metric,251108 12:10:51.243231,   14.000000,  375.000000,  450.000000,   -0.682469,    0.040501,   -0.011045,   -7.683816,   -0.018655,   -0.039305,  -10.426303,   -0.026035
Sing,Metric,251108 12:11:02.230199,   14.000000,  375.000000,  450.000000,   -0.577204,    0.032043,   -0.009356,   -6.690326,   -0.018188,   -0.037682,  -10.426303,   -0.025317
Sing,Metric,251108 12:11:15.649893,   14.000000,  375.000000,  450.000000,   -0.459816,    0.017428,   -0.007520,   -5.739645,   -0.018838,   -0.034346,  -10.426303,   -0.026740
Sing,Metric,251108 12:11:29.407899,   14.000000,  375.000000,  450.000000,   -0.345751,    0.014905,   -0.005734,   -4.714403,   -0.019169,   -0.035423,  -10.426303,   -0.025939
Sing,Metric,251108 12:11:41.904286,   14.000000,  375.000000,  450.000000,   -0.235119,    0.004824,   -0.004032,   -3.688800,   -0.019116,   -0.036027,  -10.426303,   -0.024877
Sing,Metric,251108 12:11:52.734452,   14.000000,  375.000000,  450.000000,   -0.113719,    0.003049,   -0.002188,   -2.697584,   -0.018217,   -0.032527,  -10.426303,   -0.025281
Sing,Metric,251108 12:12:14.982443,   14.000000,  375.000000,  450.000000,    0.010701,   -0.007275,   -0.000191,   -1.746958,   -0.018970,   -0.034108,  -10.426303,   -0.026705
Sing,Metric,251108 12:12:28.018438,   14.000000,  375.000000,  450.000000,    0.129239,   -0.003735,    0.001835,   -0.724916,   -0.017313,   -0.034460,  -10.426303,   -0.025393
Sing,Metric,251108 12:12:48.822438,   14.000000,  375.000000,  450.000000,    0.230601,   -0.006262,    0.003786,    0.314888,   -0.017578,   -0.035315,  -10.426303,   -0.026665
Sing,Metric,251108 12:13:03.357775,   14.000000,  375.000000,  450.000000,    0.347955,   -0.000244,    0.005942,    1.348120,   -0.020185,   -0.032025,  -10.426303,   -0.025740
Sing,Metric,251108 12:13:19.670804,   14.000000,  375.000000,  450.000000,    0.467883,    0.003070,    0.008074,    2.266897,   -0.018068,   -0.035027,  -10.426303,   -0.024733
Sing,Metric,251108 12:13:33.117774,   14.000000,  375.000000,  450.000000,    0.572352,    0.008457,    0.010242,    3.279678,   -0.019475,   -0.035755,  -10.426303,   -0.025818
Sing,Metric,251108 12:13:46.360774,   14.000000,  375.000000,  450.000000,    0.684857,    0.015864,    0.012244,    4.294929,   -0.017040,   -0.033347,  -10.426303,   -0.025624
Sing,Metric,251108 12:14:05.660774,   14.000000,  375.000000,  450.000000,    0.809295,    0.030959,    0.014789,    5.342525,   -0.018386,   -0.032230,  -10.426303,   -0.026490
Sing,Metric,251108 12:14:19.542774,   14.000000,  375.000000,  450.000000,    0.918456,    0.035700,    0.017309,    6.314939,   -0.017839,   -0.034008,  -10.426303,   -0.025918
Sing,Metric,251108 12:14:32.436775,   14.000000,  375.000000,  450.000000,    1.026008,    0.048785,    0.019469,    7.288957,   -0.018360,   -0.034010,  -10.426303,   -0.026313
Sing,Metric,251108 12:14:44.276775,   14.000000,  375.000000,  450.000000,    1.141107,    0.066963,    0.022009,    8.309346,   -0.019584,   -0.034073,  -10.426303,   -0.026615
Sing,Metric,251108 12:15:23.572793,   14.000000,  375.000000,  450.000000,    1.274224,    0.095134,    0.025097,    9.340832,   -0.018917,   -0.033086,  -10.426303,   -0.026178
Sing,Metric,251108 12:15:40.621672,   14.000000,  375.000000,  450.000000,    1.383571,    0.113510,    0.027439,   10.260650,   -0.016944,   -0.038759,  -10.426303,   -0.026399
Sing,Metric,251108 12:15:53.597410,   14.000000,  375.000000,  450.000000,    1.483141,    0.129000,    0.029820,   11.262665,   -0.017746,   -0.031913,  -10.426303,   -0.027166
Sing,Metric,251108 12:16:11.065683,   14.000000,  375.000000,  450.000000,    1.611660,    0.151257,    0.032500,   12.317597,   -0.018864,   -0.033398,  -10.426303,   -0.026268
Sing,Metric,251108 12:16:21.852675,   14.000000,  375.000000,  450.000000,    1.730193,    0.172358,    0.035319,   13.315025,   -0.017241,   -0.035231,  -10.426303,   -0.024627
Sing,Metric,251108 12:16:53.832679,   14.000000,  375.000000,  450.000000,    1.859325,    0.199088,    0.038389,   14.272847,   -0.019203,   -0.034796,  -10.426303,   -0.026138
Sing,Metric,251108 12:17:08.197562,   14.000000,  375.000000,  450.000000,    1.952707,    0.219798,    0.040897,   15.275198,   -0.019551,   -0.035183,  -10.426303,   -0.024082
Sing,Metric,251108 12:17:21.276922,   14.000000,  375.000000,  450.000000,    2.060662,    0.247581,    0.043586,   16.290203,   -0.018173,   -0.038353,  -10.426303,   -0.024234
Sing,Metric,251108 12:17:41.300475,   14.000000,  375.000000,  450.000000,    2.178754,    0.277371,    0.046709,   17.346823,   -0.018842,   -0.033220,  -10.426303,   -0.024329
Sing,Metric,251108 12:18:12.221002,   14.000000,  375.000000,  450.000000,    2.288232,    0.316052,    0.049795,   18.273599,   -0.015715,   -0.034687,  -10.426303,   -0.024688
