Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251107 14:29:36.377046,   14.000000,  375.000000,  450.000000,   -1.577067,   -0.928282,   -0.088925,  -16.716283,   -0.018546,   -0.033080,  -10.426303,   -0.024213
Sing,Metric,251107 14:29:45.921329,   14.000000,  375.000000,  450.000000,   -1.478744,   -0.852426,   -0.089246,  -15.667099,   -0.018246,   -0.032253,  -10.426303,   -0.023998
Sing,Metric,251107 14:29:55.952919,   14.000000,  375.000000,  450.000000,   -1.384697,   -0.750897,   -0.088351,  -14.648099,   -0.018821,   -0.031319,  -10.426303,   -0.024410
Sing,Metric,251107 14:30:05.424917,   14.000000,  375.000000,  450.000000,   -1.294828,   -0.656255,   -0.082938,  -13.648634,   -0.018715,   -0.033558,  -10.426303,   -0.024495
Sing,Metric,251107 14:30:19.344887,   14.000000,  375.000000,  450.000000,   -1.188298,   -0.657001,   -0.081615,  -12.711075,   -0.018010,   -0.031874,  -10.426303,   -0.023636
Sing,Metric,251107 14:30:31.753843,   14.000000,  375.000000,  450.000000,   -1.074985,   -0.558255,   -0.073688,  -11.709237,   -0.018268,   -0.032009,  -10.426303,   -0.025162
Sing,Metric,251107 14:30:50.721576,   14.000000,  375.000000,  450.000000,   -0.953832,   -0.472572,   -0.066686,  -10.716236,   -0.017368,   -0.034784,  -10.426303,   -0.023919
Sing,Metric,251107 14:31:02.808244,   14.000000,  375.000000,  450.000000,   -0.849182,   -0.393869,   -0.060323,   -9.745141,   -0.017420,   -0.033396,  -10.426303,   -0.024909
Sing,Metric,251107 14:31:19.672939,   14.000000,  375.000000,  450.000000,   -0.726985,   -0.344768,   -0.055224,   -8.726781,   -0.019205,   -0.036867,  -10.426303,   -0.023719
Sing,Metric,251107 14:31:37.216976,   14.000000,  375.000000,  450.000000,   -0.601777,   -0.259423,   -0.047827,   -7.673116,   -0.017517,   -0.033120,  -10.426303,   -0.025363
Sing,Metric,251107 14:31:47.705156,   14.000000,  375.000000,  450.000000,   -0.489750,   -0.173914,   -0.039937,   -6.664743,   -0.018780,   -0.033648,  -10.426303,   -0.023447
Sing,Metric,251107 14:31:57.144472,   14.000000,  375.000000,  450.000000,   -0.372120,   -0.121512,   -0.033999,   -5.709803,   -0.017051,   -0.033558,  -10.426303,   -0.021090
Sing,Metric,251107 14:32:07.433446,   14.000000,  375.000000,  450.000000,   -0.257757,   -0.019862,   -0.025524,   -4.707163,   -0.018834,   -0.036288,  -10.426303,   -0.023224
Sing,Metric,251107 14:32:19.921187,   14.000000,  375.000000,  450.000000,   -0.154324,    0.078943,   -0.017569,   -3.697699,   -0.019324,   -0.036701,  -10.426303,   -0.023391
