Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251107 14:17:03.656935,   14.000000,  375.000000,  450.000000,   -1.635160,    0.209054,   -0.020398,  -16.728027,   -0.017695,   -0.034553,  -10.426303,   -0.024902
Sing,Metric,251107 14:17:40.160575,   14.000000,  375.000000,  450.000000,   -1.505511,    0.185262,   -0.019539,  -15.671126,   -0.017924,   -0.033771,  -10.426303,   -0.023274
Sing,Metric,251107 14:18:15.312143,   14.000000,  375.000000,  450.000000,   -1.401587,    0.157464,   -0.018625,  -14.739902,   -0.019021,   -0.033385,  -10.426303,   -0.024333
Sing,Metric,251107 14:18:45.777268,   14.000000,  375.000000,  450.000000,   -1.298728,    0.135928,   -0.017664,  -13.747068,   -0.019127,   -0.034087,  -10.426303,   -0.025268
Sing,Metric,251107 14:18:55.488269,   14.000000,  375.000000,  450.000000,   -1.194551,    0.121290,   -0.016542,  -12.713299,   -0.018346,   -0.035393,  -10.426303,   -0.024490
Sing,Metric,251107 14:19:08.713850,   14.000000,  375.000000,  450.000000,   -1.074855,    0.099456,   -0.015057,  -11.695858,   -0.019728,   -0.031163,  -10.426303,   -0.023549
Sing,Metric,251107 14:19:37.961141,   14.000000,  375.000000,  450.000000,   -0.965379,    0.078503,   -0.013950,  -10.704292,   -0.017362,   -0.033852,  -10.426303,   -0.026503
Sing,Metric,251107 14:19:48.697115,   14.000000,  375.000000,  450.000000,   -0.852809,    0.064727,   -0.012566,   -9.745276,   -0.017855,   -0.033584,  -10.426303,   -0.025794
Sing,Metric,251107 14:20:03.969864,   14.000000,  375.000000,  450.000000,   -0.745818,    0.051684,   -0.011353,   -8.719460,   -0.017737,   -0.031504,  -10.426303,   -0.024793
Sing,Metric,251107 14:20:18.651458,   14.000000,  375.000000,  450.000000,   -0.640993,    0.029663,   -0.009810,   -7.673290,   -0.017899,   -0.032395,  -10.426303,   -0.023581
Sing,Metric,251107 14:20:29.529489,   14.000000,  375.000000,  450.000000,   -0.537004,    0.022426,   -0.008249,   -6.655551,   -0.017701,   -0.032646,  -10.426303,   -0.023526
Sing,Metric,251107 14:20:41.665487,   14.000000,  375.000000,  450.000000,   -0.432819,    0.016248,   -0.006975,   -5.746910,   -0.017900,   -0.035402,  -10.426303,   -0.023649
Sing,Metric,251107 14:20:54.425489,   14.000000,  375.000000,  450.000000,   -0.314527,    0.003028,   -0.005039,   -4.707585,   -0.017784,   -0.033877,  -10.426303,   -0.024774
Sing,Metric,251107 14:21:06.793459,   14.000000,  375.000000,  450.000000,   -0.212904,    0.003295,   -0.003521,   -3.683853,   -0.018532,   -0.034552,  -10.426303,   -0.024332
Sing,Metric,251107 14:21:39.049612,   14.000000,  375.000000,  450.000000,   -0.092947,    0.000061,   -0.001734,   -2.733690,   -0.018691,   -0.031352,  -10.426303,   -0.026355
Sing,Metric,251107 14:21:53.897763,   14.000000,  375.000000,  450.000000,    0.004333,   -0.006711,    0.000022,   -1.737607,   -0.017140,   -0.032988,  -10.426303,   -0.023349
Sing,Metric,251107 14:22:04.153652,   14.000000,  375.000000,  450.000000,    0.117208,   -0.003505,    0.001776,   -0.716918,   -0.016890,   -0.033743,  -10.426303,   -0.022015
Sing,Metric,251107 14:22:14.705409,   14.000000,  375.000000,  450.000000,    0.233397,   -0.003990,    0.003870,    0.341603,   -0.017499,   -0.032503,  -10.426303,   -0.023091
Sing,Metric,251107 14:22:38.648931,   14.000000,  375.000000,  450.000000,    0.351778,    0.001521,    0.006032,    1.336514,   -0.017491,   -0.033108,  -10.426303,   -0.023323
Sing,Metric,251107 14:22:49.312906,   14.000000,  375.000000,  450.000000,    0.432764,    0.002746,    0.007558,    2.255518,   -0.016378,   -0.032778,  -10.426303,   -0.022707
Sing,Metric,251107 14:22:59.817855,   14.000000,  375.000000,  450.000000,    0.541207,    0.006145,    0.009684,    3.287625,   -0.017914,   -0.033691,  -10.426303,   -0.023229
Sing,Metric,251107 14:23:10.617253,   14.000000,  375.000000,  450.000000,    0.649171,    0.017992,    0.011888,    4.319080,   -0.018245,   -0.032615,  -10.426303,   -0.022868
Sing,Metric,251107 14:23:36.665878,   14.000000,  375.000000,  450.000000,    0.767897,    0.030992,    0.014064,    5.338191,   -0.017174,   -0.031399,  -10.426303,   -0.022551
Sing,Metric,251107 14:23:48.481692,   14.000000,  375.000000,  450.000000,    0.875306,    0.044164,    0.016584,    6.359716,   -0.016829,   -0.033247,  -10.426303,   -0.023744
Sing,Metric,251107 14:24:00.457711,   14.000000,  375.000000,  450.000000,    0.972763,    0.057874,    0.018669,    7.307310,   -0.019049,   -0.032293,  -10.426303,   -0.024535
Sing,Metric,251107 14:24:12.552768,   14.000000,  375.000000,  450.000000,    1.082461,    0.071452,    0.021038,    8.319682,   -0.018963,   -0.034719,  -10.426303,   -0.024482
Sing,Metric,251107 14:24:30.881616,   14.000000,  375.000000,  450.000000,    1.205585,    0.093339,    0.023722,    9.345417,   -0.017400,   -0.030765,  -10.426303,   -0.023598
Sing,Metric,251107 14:24:48.625333,   14.000000,  375.000000,  450.000000,    1.304296,    0.104010,    0.025781,   10.252565,   -0.018807,   -0.033338,  -10.426303,   -0.023151
Sing,Metric,251107 14:25:00.936334,   14.000000,  375.000000,  450.000000,    1.403935,    0.122004,    0.028128,   11.267993,   -0.018123,   -0.034780,  -10.426303,   -0.022423
Sing,Metric,251107 14:25:20.530275,   14.000000,  375.000000,  450.000000,    1.530818,    0.147550,    0.030894,   12.278566,   -0.019752,   -0.034777,  -10.426303,   -0.025504
