Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251101 08:02:16.362009,   14.000000,  375.000000,  450.000000,   -1.489156,   -4.369425,   -0.274391,  -16.698367,   -0.018212,   -0.038501,  -10.426303,   -0.024808
Sing,Metric,251101 08:02:27.292228,   14.000000,  375.000000,  450.000000,   -1.407736,   -3.962804,   -0.281235,  -15.659512,   -0.018374,   -0.038121,  -10.426303,   -0.025018
Sing,Metric,251101 08:02:37.345613,   14.000000,  375.000000,  450.000000,   -1.378491,   -3.570740,   -0.282525,  -14.726404,   -0.017153,   -0.036400,  -10.426303,   -0.024892
Sing,Metric,251101 08:02:44.176598,   14.000000,  375.000000,  450.000000,   -1.437691,   -3.098974,   -0.272808,  -13.730962,   -0.018080,   -0.036058,  -10.426303,   -0.024461
Sing,Metric,251101 08:02:53.489580,   14.000000,  375.000000,  450.000000,   -1.328217,   -2.798165,   -0.256332,  -12.698332,   -0.019006,   -0.038299,  -10.426303,   -0.024519
Sing,Metric,251101 08:03:03.290490,   14.000000,  375.000000,  450.000000,   -1.158465,   -2.309834,   -0.229065,  -11.712044,   -0.018039,   -0.041270,  -10.426303,   -0.025090
Sing,Metric,251101 08:03:18.513246,   14.000000,  375.000000,  450.000000,   -1.008241,   -1.968415,   -0.208747,  -10.712730,   -0.018477,   -0.036032,  -10.426303,   -0.025290
Sing,Metric,251101 08:03:26.686716,   14.000000,  375.000000,  450.000000,   -0.843463,   -1.622485,   -0.188143,   -9.652021,   -0.018673,   -0.036501,  -10.426303,   -0.025404
Sing,Metric,251101 08:03:33.521939,   14.000000,  375.000000,  450.000000,   -0.686754,   -1.278125,   -0.167556,   -8.708183,   -0.018824,   -0.035874,  -10.426303,   -0.025202
Sing,Metric,251101 08:03:39.321900,   14.000000,  375.000000,  450.000000,   -0.530538,   -0.915695,   -0.145957,   -7.655360,   -0.019597,   -0.035932,  -10.426303,   -0.023639
Sing,Metric,251101 08:03:45.873900,   14.000000,  375.000000,  450.000000,   -0.375798,   -0.547112,   -0.123184,   -6.676571,   -0.019109,   -0.035982,  -10.426303,   -0.026336
Sing,Metric,251101 08:03:53.154953,   14.000000,  375.000000,  450.000000,   -0.238976,   -0.207068,   -0.101569,   -5.690090,   -0.021654,   -0.032560,  -10.426303,   -0.025764
Sing,Metric,251101 08:04:00.809604,   14.000000,  375.000000,  450.000000,   -0.075427,    0.253403,   -0.073597,   -4.693338,   -0.019980,   -0.033698,  -10.426303,   -0.025513
Sing,Metric,251101 08:04:07.473768,   14.000000,  375.000000,  450.000000,    0.035138,    0.520138,   -0.056908,   -3.704025,   -0.019243,   -0.031167,  -10.426303,   -0.025906
Sing,Metric,251101 08:04:17.393720,   14.000000,  375.000000,  450.000000,    0.166649,    0.920654,   -0.032850,   -2.741087,   -0.020409,   -0.034379,  -10.426303,   -0.025963
Sing,Metric,251101 08:04:27.209127,   14.000000,  375.000000,  450.000000,    0.307381,    1.340557,   -0.007625,   -1.725372,   -0.019722,   -0.034120,  -10.426303,   -0.025951
Sing,Metric,251101 08:04:34.105495,   14.000000,  375.000000,  450.000000,    0.431517,    1.676308,    0.012410,   -0.700137,   -0.021205,   -0.034346,  -10.426303,   -0.025587
Sing,Metric,251101 08:04:42.226332,   14.000000,  375.000000,  450.000000,    0.553224,    2.033167,    0.034717,    0.335322,   -0.021444,   -0.032916,  -10.426303,   -0.025251
Sing,Metric,251101 08:04:50.393818,   14.000000,  375.000000,  450.000000,    0.662459,    2.397590,    0.057395,    1.346333,   -0.019895,   -0.034926,  -10.426303,   -0.024401
Sing,Metric,251101 08:05:00.233794,   14.000000,  375.000000,  450.000000,    0.748421,    2.726108,    0.077538,    2.275825,   -0.019256,   -0.034945,  -10.426303,   -0.025346
Sing,Metric,251101 08:05:09.873591,   14.000000,  375.000000,  450.000000,    0.847078,    3.062550,    0.098534,    3.303155,   -0.019620,   -0.038518,  -10.426303,   -0.027037
Sing,Metric,251101 08:05:17.506328,   14.000000,  375.000000,  450.000000,    0.950779,    3.476793,    0.124699,    4.339703,   -0.019390,   -0.034257,  -10.426303,   -0.024880
Sing,Metric,251101 08:05:24.233451,   14.000000,  375.000000,  450.000000,    1.025847,    3.800247,    0.145335,    5.342371,   -0.021277,   -0.033931,  -10.426303,   -0.025638
Sing,Metric,251101 08:05:31.482163,   14.000000,  375.000000,  450.000000,    1.115742,    4.130832,    0.166139,    6.263894,   -0.020532,   -0.037637,  -10.426303,   -0.025373
Sing,Metric,251101 08:05:37.769923,   14.000000,  375.000000,  450.000000,    1.188531,    4.555743,    0.192601,    7.307837,   -0.019137,   -0.034419,  -10.426303,   -0.024355
Sing,Metric,251101 08:05:43.803187,   14.000000,  375.000000,  450.000000,    1.264278,    4.902150,    0.214934,    8.335442,   -0.020231,   -0.033626,  -10.426303,   -0.024261
Sing,Metric,251101 08:05:57.434132,   14.000000,  375.000000,  450.000000,    1.333462,    5.313460,    0.240840,    9.341003,   -0.020421,   -0.038573,  -10.426303,   -0.026589
Sing,Metric,251101 08:06:13.016390,   14.000000,  375.000000,  450.000000,    1.411876,    5.566028,    0.256339,   10.295332,   -0.020152,   -0.036027,  -10.426303,   -0.026046
Sing,Metric,251101 08:06:19.578395,   14.000000,  375.000000,  450.000000,    1.471534,    5.979088,    0.281096,   11.290472,   -0.018969,   -0.034795,  -10.426303,   -0.025533
Sing,Metric,251101 08:06:33.121632,   14.000000,  375.000000,  450.000000,    1.536055,    6.316051,    0.301572,   12.365527,   -0.022569,   -0.037774,  -10.426303,   -0.024303
Sing,Metric,251101 08:06:40.305426,   14.000000,  375.000000,  450.000000,    1.591664,    6.623027,    0.319992,   13.315211,   -0.019252,   -0.034517,  -10.426303,   -0.024945
Sing,Metric,251101 08:07:43.585739,   14.000000,  375.000000,  450.000000,    1.652219,    6.914515,    0.338694,   14.343767,   -0.020121,   -0.033164,  -10.426303,   -0.025961
Sing,Metric,251101 08:07:50.714133,   14.000000,  375.000000,  450.000000,    1.686491,    7.235672,    0.357694,   15.301196,   -0.019746,   -0.035214,  -10.426303,   -0.027006
Sing,Metric,251101 08:07:57.641935,   14.000000,  375.000000,  450.000000,    1.726855,    7.522815,    0.375205,   16.320675,   -0.020294,   -0.036739,  -10.426303,   -0.028040
Sing,Metric,251101 08:08:14.826237,   14.000000,  375.000000,  450.000000,    1.743269,    7.887373,    0.398647,   17.346509,   -0.020022,   -0.037802,  -10.426303,   -0.027267
Sing,Metric,251101 08:08:29.227431,   14.000000,  375.000000,  450.000000,    1.780762,    8.145612,    0.414493,   18.255931,   -0.020170,   -0.036282,  -10.426303,   -0.025549
