Type,Units,Time,Barometric Pressure,Temperature,Humidity,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3,cDAQ1Mod2/ai1,cDAQ1Mod2/ai2,cDAQ1Mod2/ai3
Type,US / Metric,Time,PSI / Pascals,F / C,% / %,lbf / N,lbf / N,in.lb / Nm,degrees / degrees, / , / , / , / 
Sing,Metric,251101 07:44:33.497956,   14.000000,  375.000000,  450.000000,   -1.715869,    0.193393,   -0.018305,  -16.698414,   -0.019296,   -0.033153,  -10.426303,   -0.028457
Sing,Metric,251101 07:44:49.425942,   14.000000,  375.000000,  450.000000,   -1.605257,    0.170107,   -0.017414,  -15.654197,   -0.020571,   -0.034894,  -10.426303,   -0.028473
Sing,Metric,251101 07:45:01.089920,   14.000000,  375.000000,  450.000000,   -1.498119,    0.143460,   -0.016463,  -14.704959,   -0.019599,   -0.032855,  -10.426303,   -0.026147
Sing,Metric,251101 07:45:11.209404,   14.000000,  375.000000,  450.000000,   -1.371917,    0.117308,   -0.015019,  -13.736657,   -0.018585,   -0.035574,  -10.426303,   -0.023841
Sing,Metric,251101 07:45:19.953977,   14.000000,  375.000000,  450.000000,   -1.247218,    0.099438,   -0.013681,  -12.699936,   -0.018508,   -0.035124,  -10.426303,   -0.024520
Sing,Metric,251101 07:45:31.105003,   14.000000,  375.000000,  450.000000,   -1.125638,    0.075180,   -0.012342,  -11.672385,   -0.019528,   -0.033792,  -10.426303,   -0.023781
Sing,Metric,251101 07:45:49.177265,   14.000000,  375.000000,  450.000000,   -1.018704,    0.058746,   -0.011004,  -10.727076,   -0.021907,   -0.033955,  -10.426303,   -0.025472
Sing,Metric,251101 07:46:02.923343,   14.000000,  375.000000,  450.000000,   -0.899844,    0.043275,   -0.009404,   -9.737972,   -0.019380,   -0.035059,  -10.426303,   -0.024919
Sing,Metric,251101 07:46:10.825047,   14.000000,  375.000000,  450.000000,   -0.785048,    0.028948,   -0.008045,   -8.701168,   -0.018784,   -0.033705,  -10.426303,   -0.024368
Sing,Metric,251101 07:46:21.745944,   14.000000,  375.000000,  450.000000,   -0.678739,    0.017285,   -0.006486,   -7.658969,   -0.019153,   -0.034076,  -10.426303,   -0.024989
Sing,Metric,251101 07:46:34.201653,   14.000000,  375.000000,  450.000000,   -0.551401,    0.007828,   -0.004724,   -6.646607,   -0.017917,   -0.035158,  -10.426303,   -0.027102
Sing,Metric,251101 07:46:45.586972,   14.000000,  375.000000,  450.000000,   -0.443231,   -0.000718,   -0.003093,   -5.691290,   -0.017026,   -0.031790,  -10.426303,   -0.025298
Sing,Metric,251101 07:46:52.312545,   14.000000,  375.000000,  450.000000,   -0.328772,   -0.002711,   -0.001456,   -4.694061,   -0.021000,   -0.034231,  -10.426303,   -0.025958
Sing,Metric,251101 07:47:01.437503,   14.000000,  375.000000,  450.000000,   -0.225412,   -0.011065,    0.000320,   -3.682200,   -0.019719,   -0.035787,  -10.426303,   -0.024953
Sing,Metric,251101 07:47:08.441533,   14.000000,  375.000000,  450.000000,   -0.103104,   -0.015108,    0.002155,   -2.705423,   -0.017654,   -0.035552,  -10.426303,   -0.026644
Sing,Metric,251101 07:47:17.385167,   14.000000,  375.000000,  450.000000,    0.017797,   -0.014758,    0.004029,   -1.727599,   -0.018040,   -0.037019,  -10.426303,   -0.026401
Sing,Metric,251101 07:47:25.960575,   14.000000,  375.000000,  450.000000,    0.120996,   -0.012499,    0.005832,   -0.709434,   -0.019086,   -0.030767,  -10.426303,   -0.026763
Sing,Metric,251101 07:47:42.977371,   14.000000,  375.000000,  450.000000,    0.229439,   -0.010049,    0.007761,    0.330931,   -0.018512,   -0.030076,  -10.426303,   -0.024333
Sing,Metric,251101 07:47:49.530400,   14.000000,  375.000000,  450.000000,    0.341400,   -0.010438,    0.009804,    1.336424,   -0.018629,   -0.031886,  -10.426303,   -0.026754
Sing,Metric,251101 07:47:58.009392,   14.000000,  375.000000,  450.000000,    0.459399,   -0.009073,    0.012026,    2.257595,   -0.018980,   -0.032488,  -10.426303,   -0.025607
Sing,Metric,251101 07:48:04.562283,   14.000000,  375.000000,  450.000000,    0.574334,    0.000659,    0.014173,    3.294354,   -0.020343,   -0.031643,  -10.426303,   -0.025496
Sing,Metric,251101 07:48:10.145843,   14.000000,  375.000000,  450.000000,    0.682934,    0.007523,    0.016212,    4.316658,   -0.019666,   -0.033030,  -10.426303,   -0.026075
Sing,Metric,251101 07:48:17.929139,   14.000000,  375.000000,  450.000000,    0.800281,    0.017554,    0.018745,    5.322184,   -0.019626,   -0.036849,  -10.426303,   -0.023119
Sing,Metric,251101 07:48:24.887740,   14.000000,  375.000000,  450.000000,    0.911841,    0.031464,    0.021168,    6.262165,   -0.019047,   -0.038659,  -10.426303,   -0.023056
Sing,Metric,251101 07:48:33.425739,   14.000000,  375.000000,  450.000000,    1.026409,    0.042027,    0.023700,    7.314806,   -0.018652,   -0.033283,  -10.426303,   -0.023952
Sing,Metric,251101 07:48:40.138124,   14.000000,  375.000000,  450.000000,    1.140477,    0.054832,    0.026070,    8.328444,   -0.019894,   -0.032674,  -10.426303,   -0.024477
Sing,Metric,251101 07:48:52.505999,   14.000000,  375.000000,  450.000000,    1.270370,    0.075083,    0.028791,    9.333948,   -0.019421,   -0.034886,  -10.426303,   -0.026287
Sing,Metric,251101 07:49:01.434301,   14.000000,  375.000000,  450.000000,    1.367855,    0.095391,    0.031177,   10.289851,   -0.020138,   -0.035399,  -10.426303,   -0.026089
Sing,Metric,251101 07:49:08.576929,   14.000000,  375.000000,  450.000000,    1.492149,    0.112823,    0.034067,   11.285416,   -0.019387,   -0.033622,  -10.426303,   -0.025874
Sing,Metric,251101 07:49:15.922160,   14.000000,  375.000000,  450.000000,    1.603984,    0.139308,    0.036609,   12.297585,   -0.019513,   -0.033421,  -10.426303,   -0.026109
Sing,Metric,251101 07:49:23.049916,   14.000000,  375.000000,  450.000000,    1.722890,    0.165074,    0.039374,   13.346752,   -0.019860,   -0.032668,  -10.426303,   -0.024630
Sing,Metric,251101 07:49:33.466036,   14.000000,  375.000000,  450.000000,    1.841306,    0.188304,    0.042380,   14.281703,   -0.020427,   -0.031805,  -10.426303,   -0.025932
Sing,Metric,251101 07:49:39.130409,   14.000000,  375.000000,  450.000000,    1.944905,    0.210155,    0.044886,   15.312264,   -0.021469,   -0.034345,  -10.426303,   -0.024828
Sing,Metric,251101 07:49:44.786001,   14.000000,  375.000000,  450.000000,    2.046553,    0.237381,    0.047456,   16.306680,   -0.021424,   -0.034122,  -10.426303,   -0.023541
Sing,Metric,251101 07:49:57.681727,   14.000000,  375.000000,  450.000000,    2.175073,    0.272661,    0.050671,   17.303206,   -0.020265,   -0.034679,  -10.426303,   -0.023830
Sing,Metric,251101 07:50:04.065330,   14.000000,  375.000000,  450.000000,    2.266722,    0.300065,    0.053217,   18.292169,   -0.022414,   -0.031748,  -10.426303,   -0.024316
